# GENERATED (ONE-SHOT): python3 scripts/archive/ghidra_recover_structs/recover_structs.py (ONE-SHOT, not a pipeline stage)
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE - Ghidra decompiler inference.
# Standing: lead-generator only. Same grade as the Dreamcast dump - a
# recovered offset still needs retail-byte proof before it is a claim.
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274 size=2732032
# contents: Dreamcast CodeView members for every probed class (plus every class named in struct_calibration.csv, so the anchors the engine cannot reach are still documented), flagged where the recovered x86 layout touches the same offset. dc_type is RESOLVED from the cvdump type records - array extents and bitfield bit ranges included. DC offsets are SH4: cross-architecture, a lead, never an x86 claim
class,dc_offset,dc_name,dc_type,x86_offset_touched
TResourceDisplay,0x70,DayWidget,textWidget*,yes
TSkuttleBoatWindow,0x58,RolloverWidget,const widget*,no
TSpreadsheetResource,0x1c,Spreadsheet,std::vector<std::vector<char,yes
TSpreadsheetResource,0x28,Data,T_32PRCHAR,yes
TSubWindow,0x4,X,T_INT4,yes
TSubWindow,0x8,Y,T_INT4,yes
TSubWindow,0xc,Width,T_INT4,yes
TSubWindow,0x10,Height,T_INT4,yes
TSubWindow,0x14,Widgets,std::vector<widget,yes
TSubWindow,0x20,ParentWindow,heroWindow*,yes
TSubWindow,0x24,FirstWidgetID,T_INT4,yes
TSubWindow,0x28,LastWidgetID,T_INT4,yes
TSubWindow,0x2c,Background,Bitmap16Bit*,yes
TTextResource,0x1c,Text,std::vector<char,yes
TTextResource,0x28,Data,T_32PRCHAR,yes
VictoryConditionStruct,0x0,Type,T_RCHAR,yes
VictoryConditionStruct,0x1,AllowNormalVictory,T_RCHAR,no
VictoryConditionStruct,0x2,AppliesToComputer,T_RCHAR,yes
VictoryConditionStruct,0x3,ArtifactNum,T_RCHAR,no
VictoryConditionStruct,0x4,CreatureType,T_RCHAR,yes
VictoryConditionStruct,0x8,NumCreatures,T_INT4,yes
VictoryConditionStruct,0xc,ResourceType,T_RCHAR,yes
VictoryConditionStruct,0x10,NumResources,T_INT4,yes
VictoryConditionStruct,0x14,TownX,T_RCHAR,yes
VictoryConditionStruct,0x15,TownY,T_RCHAR,no
VictoryConditionStruct,0x16,TownZ,T_RCHAR,no
VictoryConditionStruct,0x17,HallLevel,T_RCHAR,no
VictoryConditionStruct,0x18,CastleLevel,T_RCHAR,yes
VictoryConditionStruct,0x19,HeroX,T_RCHAR,no
VictoryConditionStruct,0x1a,HeroY,T_RCHAR,no
VictoryConditionStruct,0x1b,HeroZ,T_RCHAR,no
VictoryConditionStruct,0x1c,HeroID,T_RCHAR,yes
VictoryConditionStruct,0x1d,MonsterX,T_RCHAR,no
VictoryConditionStruct,0x1e,MonsterY,T_RCHAR,no
VictoryConditionStruct,0x1f,MonsterZ,T_RCHAR,no
VictoryConditionStruct,0x20,GameWon,T_UCHAR,yes
VictoryConditionStruct,0x21,playerWinner,T_RCHAR,no
advManager,0x38,inExtraMenu,T_UCHAR,yes
advManager,0x39,infoScreen,T_UCHAR,no
advManager,0x3a,systemExit,T_UCHAR,no
advManager,0x3c,scroll_offset,T_INT4,yes
advManager,0x40,CheatKey,T_INT4,yes
advManager,0x44,textRotationIndex,T_INT4,yes
advManager,0x48,goToTown,T_UCHAR,yes
advManager,0x4c,pNetMsgHandler,CNetMsgHandler*,yes
advManager,0x50,DebugShowFPS,T_UCHAR,yes
advManager,0x51,DebugViewAll,T_UCHAR,no
advManager,0x54,advCommand,T_INT4,yes
advManager,0x58,advWindow,TAdventureMapWindow*,yes
advManager,0x5c,mAdvMenu,TAdvMenu*,yes
advManager,0x60,pRouteArray,T_32PUSHORT,yes
advManager,0x64,bShowRoute,T_INT4,no
advManager,0x68,seedingValid,T_INT4,no
advManager,0x6c,fullySeeded,T_INT4,no
advManager,0x70,lastTerrain,T_INT4,no
advManager,0x74,map,NewfullMap*,no
advManager,0x78,groundTileset,CSprite*[10],no
advManager,0xa0,riverTileset,CSprite*[5],yes
advManager,0xb4,roadTileset,CSprite*[4],yes
advManager,0xc4,borderTileset,CSprite*,yes
advManager,0xc8,arrowTileset,CSprite*,yes
advManager,0xcc,gemIcons,CSprite*[4],yes
advManager,0xdc,starTileset,CSprite*,yes
advManager,0xe0,radarIcons,CSprite*,yes
advManager,0xe4,cloudIcons,CSprite*,yes
advManager,0xe8,CachedGraphics,std::vector<resource,yes
advManager,0xf4,monAttackSprites,CSprite*,yes
advManager,0xf8,map_origin,type_point,yes
advManager,0xfc,last_map_hover,type_point,yes
advManager,0x100,lastHoverX,T_INT4,yes
advManager,0x104,lastHoverY,T_INT4,yes
advManager,0x108,scrollX,T_INT4,yes
advManager,0x10c,scrollY,T_INT4,yes
advManager,0x110,animFrame,T_INT4,no
advManager,0x114,animCtr,T_INT4,no
advManager,0x118,animCtrPaused,T_UCHAR,no
advManager,0x11c,flagFrame,T_INT4,no
advManager,0x120,cursorIcons,CSprite*[16],no
advManager,0x160,boatIcons,CSprite*[3],yes
advManager,0x16c,boatFrothIcons,CSprite*[3],yes
advManager,0x178,flagIcons,CSprite*[8],no
advManager,0x198,boatFlagIcons,CSprite*[8][96 bytes],no
advManager,0x1f8,cursorVisible,T_UCHAR,no
advManager,0x1fc,cursorType,T_INT4,yes
advManager,0x200,cursorDirection,T_INT4,yes
advManager,0x204,cursorBaseFrame,T_INT4,yes
advManager,0x208,cursorSequence,T_INT4,yes
advManager,0x20c,cursorFrameCount,T_INT4,yes
advManager,0x210,cursorTurning,T_INT4,yes
advManager,0x214,cursorDrawn,T_INT4,no
advManager,0x218,bCurHeroMobile,T_UCHAR,yes
advManager,0x21c,iShowMode,T_INT4,yes
advManager,0x220,gbForceCompleteDraw,T_INT4,yes
