# GENERATED (ONE-SHOT): python3 scripts/archive/ghidra_recover_structs/recover_structs.py (ONE-SHOT, not a pipeline stage)
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE - Ghidra decompiler inference.
# Standing: lead-generator only. Same grade as the Dreamcast dump - a
# recovered offset still needs retail-byte proof before it is a claim.
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274 size=2732032
# contents: one row per recovered offset; kind r/w/rw, !union = >1 width seen
class,offset,width,n_methods,kind
CNetMsgHandlerPause,0x0,4,1,w
CObject,0x4,1,1,r
CObject,0x5,1,1,r
CObject,0x8,2,2,r
CSequence,0x0,4,2,rw
CSequence,0x4,4,2,rw
CSequence,0x8,4,2,rw
CSprite,0x0,4,3,rw
CSprite,0x4,1,2,w
CSprite,0x10,1,1,w
CSprite,0x14,4,2,rw
CSprite,0x18,4,2,rw
CSprite,0x1c,4,14,rw
CSprite,0x20,4,16,rw
CSprite,0x24,4,3,rw
CSprite,0x28,4,3,rw
CSprite,0x2c,4,3,rw
CSprite,0x30,4,1,w
CSprite,0x34,4,1,w
CSpriteFrame,0x0,4,3,w
CSpriteFrame,0x4,1,2,w
CSpriteFrame,0x10,1,2,w
CSpriteFrame,0x14,4,2,w
CSpriteFrame,0x18,4,2,w
CSpriteFrame,0x1c,4,3,rw
CSpriteFrame,0x20,4,2,w
CSpriteFrame,0x24,4,7,rw
CSpriteFrame,0x28,4,9,rw
CSpriteFrame,0x2c,4,7,rw
CSpriteFrame,0x30,4,9,rw
CSpriteFrame,0x34,4,9,rw
CSpriteFrame,0x38,4,9,rw
CSpriteFrame,0x3c,4,9,rw
CSpriteFrame,0x40,4,6,rw
CSpriteFrame,0x44,4,10,rw
CTextDialog,0x0,4,2,rw
CTextDialog,0x4,4,1,w
CTextDialog,0x8,4,1,w
CTextDialog,0xc,4,1,w
CTextDialog,0x10,4,1,w
CTextDialog,0x14,4,1,w
CTextDialog,0x18,4,2,w
CTextDialog,0x1c,4,2,w
CTextDialog,0x20,4,2,rw
CTextDialog,0x24,4,2,rw
CTextDialog,0x28,4,2,rw
CTextDialog,0x2c,4,2,rw
CTextDialog,0x30,1,1,w
CTextDialog,0x34,4,2,rw
CTextDialog,0x38,4,2,rw
CTextDialog,0x3c,4,2,rw
CTextDialog,0x40,4,1,w
CTextDialog,0x44,4,1,w
CTextDialog,0x48,4,1,w
CTextDialog,0x4c,4,1,w
CTextDialog,0x54,4,3,rw
CTextEntrySave,0x20,4,1,r
CTextEntrySave,0x24,4,1,r
CTurnDuration,0x0,4,4,rw
CTurnDuration,0x4,4,8,rw
CTurnDuration,0x8,4,6,rw
CTurnDuration,0xc,4,3,rw
CTurnDuration,0x10,4,5,rw
CampaignHeaderStruct,0x0,4,1,w
CampaignHeaderStruct,0x8,4,2,rw
CampaignHeaderStruct,0xc,4,1,w
CampaignHeaderStruct,0x10,4,1,w
CampaignHeaderStruct,0x14,4,1,rw
CampaignHeaderStruct,0x18,4,1,rw
CampaignHeaderStruct,0x20,4,1,rw
CampaignHeaderStruct,0x24,4,2,rw
CampaignHeaderStruct,0x28,4,1,w
CampaignHeaderStruct,0x30,4,1,rw
CampaignHeaderStruct,0x34,4,1,w
CampaignHeaderStruct,0x38,4,1,w
CampaignHeaderStruct,0x40,4,2,rw
CampaignHeaderStruct,0x44,4,2,rw
CampaignHeaderStruct,0x48,4,1,w
CampaignHeaderStruct,0x4c,4,1,rw
CampaignHeaderStruct,0x50,4,1,rw
CampaignHeaderStruct,0x54,1,1,w
CampaignHeaderStruct,0x58,4,1,w
ExtraInfoUnion,0x0,4,5,rw
File,0x0,4,3,rw
File,0x4,4,13,rw
File,0x108,1,1,w
LODFile,0x0,4,4,rw
LODFile,0x4,1,1,w
LODFile,0x104,4,5,rw
LODFile,0x108,4,4,rw
LODFile,0x10c,4,2,rw
LODFile,0x110,4,2,rw
LODFile,0x114,4,2,rw
LODFile,0x118,4,3,rw
LODFile,0x124,4,1,r
LODFile,0x178,4,3,rw
LODFile,0x180,4,6,rw
LODFile,0x184,4,2,rw
LODFile,0x188,4,1,w
LossConditionStruct,0x0,1,5,rw
LossConditionStruct,0x4,2,1,r
LossConditionStruct,0x8,2,1,r
LossConditionStruct,0xc,1,1,r
LossConditionStruct,0x1c,4,2,rw
LossConditionStruct,0x20,2,1,r
LossConditionStruct,0x22,1,4,w
LossConditionStruct,0x23,1,3,w
NewSMapHeader,0x0,4,2,rw
NewSMapHeader,0x4,1,1,w
NewSMapHeader,0x5,1,1,w
NewSMapHeader,0x6,1,1,w
NewSMapHeader,0x7,1,1,w
NewSMapHeader,0x8,1,1,w
NewSMapHeader,0x9,1,1,w
NewSMapHeader,0xa,1,1,w
NewSMapHeader,0xb,1,1,w
NewSMapHeader,0xc,1,1,w
NewSMapHeader,0xd,1,1,w
NewSMapHeader,0x18,4,1,w
NewSMapHeader,0x1c,1,1,w
NewSMapHeader,0x20,4,2,w!union
NewSMapHeader,0x24,4,2,rw
NewSMapHeader,0x28,4,2,rw
NewSMapHeader,0x2c,4,3,rw
NewSMapHeader,0x30,4,2,w!union
NewSMapHeader,0x40,4,1,r
NewSMapHeader,0x58,4,1,r
NewSMapHeader,0x64,4,1,r
NewSMapHeader,0x6c,4,1,w
NewSMapHeader,0x78,1,1,w
NewSMapHeader,0x79,1,1,w
NewSMapHeader,0x7c,4,2,w!union
NewSMapHeader,0x9e,1,1,w
NewSMapHeader,0x9f,1,1,w
NewSMapHeader,0xa0,1,1,w
NewSMapHeader,0xa1,1,1,w
NewSMapHeader,0xa4,4,1,w
NewSMapHeader,0xa8,2,1,w
NewSMapHeader,0xaa,1,1,w
NewSMapHeader,0xab,1,1,w
NewSMapHeader,0xac,1,1,w
NewSMapHeader,0xb0,4,1,w
NewSMapHeader,0xb4,4,1,w
NewSMapHeader,0xb8,1,1,w
NewSMapHeader,0xbc,4,1,w
NewSMapHeader,0xc0,4,1,w
NewSMapHeader,0xc4,1,1,w
NewSMapHeader,0xd0,4,1,w
NewSMapHeader,0x2c0,1,1,w
NewSMapHeader,0x2c1,1,2,w
NewSMapHeader,0x2c4,4,2,rw
NewSMapHeader,0x2c8,1,1,w
NewSMapHeader,0x2cc,4,1,w
NewfullMap,0x0,1,1,w
NewfullMap,0x4,4,2,rw
NewfullMap,0x8,4,1,w
NewfullMap,0xc,4,1,w
NewfullMap,0x10,1,1,w
NewfullMap,0x14,4,2,rw
NewfullMap,0x18,4,1,w
NewfullMap,0x1c,4,1,w
NewfullMap,0x20,1,1,w
NewfullMap,0x24,4,2,rw
NewfullMap,0x28,4,2,rw
NewfullMap,0x2c,4,1,w
NewfullMap,0x30,1,1,w
NewfullMap,0x34,4,1,w
NewfullMap,0x38,4,1,w
NewfullMap,0x3c,4,1,w
NewfullMap,0x40,1,1,w
NewfullMap,0x44,4,1,w
NewfullMap,0x48,4,1,w
NewfullMap,0x4c,4,1,w
NewfullMap,0x50,1,1,w
NewfullMap,0x54,4,1,w
NewfullMap,0x58,4,1,w
NewfullMap,0x5c,4,1,w
NewfullMap,0x60,1,1,w
NewfullMap,0x64,4,2,rw
NewfullMap,0x68,4,2,rw
NewfullMap,0x6c,4,2,w
NewfullMap,0x70,1,1,w
NewfullMap,0x74,4,2,rw
NewfullMap,0x78,4,2,rw
NewfullMap,0x7c,4,2,w
NewfullMap,0x80,1,1,w
NewfullMap,0x84,4,2,rw
NewfullMap,0x88,4,2,rw
NewfullMap,0x8c,4,2,w
NewfullMap,0x90,1,1,w
NewfullMap,0x94,4,2,rw
NewfullMap,0x98,4,2,rw
NewfullMap,0x9c,4,2,w
NewfullMap,0xa0,1,1,w
NewfullMap,0xa4,4,2,rw
NewfullMap,0xa8,4,2,rw
NewfullMap,0xac,4,2,w
NewfullMap,0xb0,1,1,w
NewfullMap,0xb4,4,2,rw
NewfullMap,0xb8,4,2,rw
NewfullMap,0xbc,4,2,w
NewfullMap,0xc0,1,1,w
NewfullMap,0xc4,4,2,rw
NewfullMap,0xc8,4,2,w
NewfullMap,0xcc,4,2,w
NewfullMap,0xd0,4,3,rw
NewfullMap,0xd4,4,1,r
NewmapCell,0x0,4,7,rw
NewmapCell,0x4,4,2,rw
NewmapCell,0x8,4,1,rw
NewmapCell,0xc,2,4,rw!union
NewmapCell,0xd,1,1,r
NewmapCell,0xe,1,1,w
NewmapCell,0x12,4,4,rw
NewmapCell,0x16,4,4,rw
NewmapCell,0x1a,4,2,w
NewmapCell,0x1e,4,8,rw
NewmapCell,0x22,2,2,rw
NewmapCell,0x24,2,2,rw
SCampaign,0x0,1,1,w
SCampaign,0x1,1,1,w
SCampaign,0x2,1,2,rw
SCampaign,0x4,4,2,rw
SCampaign,0x8,4,2,rw
SCampaign,0xc,4,2,rw!union
SCampaign,0x10,4,1,w
SCampaign,0x14,1,1,w
SCampaign,0x18,4,1,w
SCampaign,0x1c,4,1,w
SCampaign,0x20,4,1,w
SCampaign,0x24,4,1,w
SCampaign,0x28,4,1,w
SCampaign,0x2c,4,1,w
SCampaign,0x30,4,1,w
SCampaign,0x34,4,1,w
SCampaign,0x38,1,1,w
SCampaign,0x3c,1,1,w
SCampaign,0x40,4,1,w
SCampaign,0x44,4,1,w
SCampaign,0x48,4,1,w
SCampaign,0x4c,1,1,w
SCampaign,0x50,4,1,w
SCampaign,0x54,4,1,w
SCampaign,0x58,4,1,w
SCampaign,0x5c,1,1,w
SCampaign,0x60,4,3,rw
SCampaign,0x64,4,2,rw
SCampaign,0x68,4,1,w
SCampaign,0x6c,1,1,w
SCampaign,0x70,4,1,w
SCampaign,0x74,4,1,w
SCampaign,0x78,4,1,w
SavedGameHeader,0x0,1,1,w
SavedGameHeader,0x4,4,1,w
SavedGameHeader,0x8,4,1,w
SavedGameHeader,0x10,4,1,w
SavedGameHeader,0x15,1,1,w
SavedGameHeader,0x16,1,1,w
SavedGameHeader,0x17,1,1,w
SavedGameHeader,0x18,1,1,w
SavedGameHeader,0x19,1,1,w
SavedGameHeader,0x1a,1,1,w
SavedGameHeader,0x34,4,1,rw
SavedGameHeader,0x38,4,1,rw
SavedGameHeader,0x3c,4,1,w
SavedGameHeader,0x2e0,1,1,w
SavedGameHeader,0x2e4,4,1,rw
SavedGameHeader,0x2e8,4,1,w
SavedGameHeader,0x2ec,4,1,w
SavedGameHeader,0x2f0,1,1,w
SavedGameHeader,0x324,4,1,w
SavedGameHeader,0x34c,1,1,w
SavedGameHeader,0x34d,2,1,w
SavedGameHeader,0x34f,1,1,w
SavedGameHeader,0x448,4,1,w
SavedGameHeader,0x4b4,1,1,w
SavedGameHeader,0x4b5,1,1,w
SavedGameHeader,0x4b6,1,1,w
SavedGameHeader,0x4b7,1,1,w
SavedGameHeader,0x4b8,4,1,w
SavedGameHeader,0x534,4,1,rw
SavedGameHeader,0x538,4,1,rw
SavedGameHeader,0x53c,4,1,w
SavedGameHeader,0x544,4,1,rw
SavedGameHeader,0x548,4,1,rw
SavedGameHeader,0x54c,4,1,w
SavedGameHeader,0x554,4,1,rw
SavedGameHeader,0x558,4,1,w
SavedGameHeader,0x55c,4,1,w
SavedGameHeader,0x560,1,1,w
SavedGameHeader,0x564,4,2,rw
SavedGameHeader,0x568,4,2,w
SavedGameHeader,0x56c,4,2,w
TAbstractFile,0x0,4,1,w
TAdventureMapWindow,0x0,4,13,rw
TAdventureMapWindow,0x4,4,2,w
TAdventureMapWindow,0x8,4,1,w
TAdventureMapWindow,0xc,4,1,w
TAdventureMapWindow,0x10,4,3,rw!union
TAdventureMapWindow,0x14,4,3,rw!union
TAdventureMapWindow,0x18,4,3,rw
TAdventureMapWindow,0x1c,4,3,rw
TAdventureMapWindow,0x20,4,2,rw
TAdventureMapWindow,0x24,4,2,rw
TAdventureMapWindow,0x28,4,2,rw
TAdventureMapWindow,0x2c,4,15,rw
TAdventureMapWindow,0x30,1,1,w
TAdventureMapWindow,0x34,4,4,rw
TAdventureMapWindow,0x38,4,4,rw
TAdventureMapWindow,0x3c,4,2,rw
TAdventureMapWindow,0x40,4,11,rw
TAdventureMapWindow,0x44,4,2,rw
TAdventureMapWindow,0x48,4,1,w
TAdventureMapWindow,0x4c,4,1,w
TAdventureMapWindow,0x50,4,1,w
TAdventureMapWindow,0x54,4,2,rw
TAdventureMapWindow,0x58,4,1,r
TAdventureMapWindow,0x5c,4,2,r
TAdventureMapWindow,0x60,4,1,r
TAdventureMapWindow,0x64,4,7,rw
TAdventureMapWindow,0x68,4,7,rw
TAdventureMapWindow,0x6c,1,2,rw
TAdventureMapWindow,0x84,4,1,r
TAdventureMapWindow,0x98,4,5,rw
TAdventureMapWindow,0x9c,4,4,rw
TAdventureOptionsWindow,0x0,4,2,r
TAdventureOptionsWindow,0x34,4,1,r
TAdventureOptionsWindow,0x38,4,1,r
TAdventureOptionsWindow,0x50,4,1,r
TAdventureOptionsWindow,0x54,4,1,r
TAdventureOptionsWindow,0x58,4,1,r
TAdventureOptionsWindow,0x60,4,1,r
TCampaignBrief,0x0,4,2,w
TCampaignBrief,0x4,4,1,w
TCampaignBrief,0x8,4,1,w
TCampaignBrief,0xc,4,1,w
TCampaignBrief,0x10,4,1,w
TCampaignBrief,0x14,4,1,w
TCampaignBrief,0x18,4,1,w
TCampaignBrief,0x1c,4,1,w
TCampaignBrief,0x20,4,1,rw
TCampaignBrief,0x24,4,1,rw
TCampaignBrief,0x28,4,1,w
TCampaignBrief,0x2c,4,1,w
TCampaignBrief,0x30,1,1,w
TCampaignBrief,0x34,4,2,rw
TCampaignBrief,0x38,4,2,rw
TCampaignBrief,0x3c,4,2,rw
TCampaignBrief,0x40,4,1,w
TCampaignBrief,0x44,4,2,rw
TCampaignBrief,0x48,4,1,w
TCampaignBrief,0x4c,4,2,rw
TCampaignBrief,0x50,4,1,r
TCampaignBrief,0x54,1,1,w
TCampaignBrief,0x58,4,2,rw
TCampaignBrief,0x5c,4,2,rw
TCampaignBrief,0x60,4,2,w
TCampaignBrief,0x64,4,2,rw
TCampaignBrief,0x6c,4,1,w
TCampaignMenu,0x0,4,1,r
TCampaignMenu,0x2c,4,1,r
TCombatResultsWindow,0x0,4,1,r
TCombatResultsWindow,0x4,4,1,w
TCombatResultsWindow,0x10,4,2,r!union
TCombatResultsWindow,0x14,1,2,rw
TCombatResultsWindow,0x18,4,1,r
TCombatResultsWindow,0x1c,4,1,r
TCombatResultsWindow,0x20,4,1,r
TCombatResultsWindow,0x24,4,1,r
TCombatResultsWindow,0x2c,4,1,r
TDialogBox,0x0,4,3,w
TDialogBox,0x4,4,2,w
TDialogBox,0x8,4,2,w
TDialogBox,0xc,4,2,w
TDialogBox,0x10,4,2,w
TDialogBox,0x14,4,2,w
TDialogBox,0x18,4,4,w!union
TDialogBox,0x1a,4,1,w
TDialogBox,0x1c,4,3,w
TDialogBox,0x1e,4,1,w
TDialogBox,0x20,4,3,rw
TDialogBox,0x22,1,1,w
TDialogBox,0x23,1,1,w
TDialogBox,0x24,4,3,rw
TDialogBox,0x28,4,2,w
TDialogBox,0x2c,4,2,w
TDialogBox,0x30,4,3,w!union
TDialogBox,0x34,4,4,rw!union
TDialogBox,0x35,4,1,w
TDialogBox,0x38,4,3,rw
TDialogBox,0x39,4,1,w
