# generator: homm3.analysis.dc_bracket
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE - a `forced`
# row is a link-order proof proposal; it becomes
# evidence only when a supervised review promotes it
# into a VA() claim.
unit	dc_offset	dc_size	proposed_rva	proposed_size	grade	name	detail
ai_combat	0x2a764	128		0	ambiguous	type_AI_combat_data::get_chain_lightning_value	gap 1 dc vs 0 retail [0x249d0..0x24bf0]
ai_combat	0x2ab3c	76		0	ambiguous	type_AI_combat_data::has_creature	gap 10 dc vs 4 retail [0x25260..0x25bd0]
ai_combat	0x2ab88	144		0	ambiguous	type_AI_combat_data::get_mass_damage_value	gap 10 dc vs 4 retail [0x25260..0x25bd0]
ai_combat	0x2ac18	62		0	ambiguous	type_AI_combat_data::get_mass_damage_value	gap 10 dc vs 4 retail [0x25260..0x25bd0]
ai_combat	0x2ac58	138		0	ambiguous	type_AI_combat_data::cast_mass_damage_spell	gap 10 dc vs 4 retail [0x25260..0x25bd0]
ai_combat	0x2ace4	114		0	ambiguous	type_AI_combat_data::get_enchantment_value	gap 10 dc vs 4 retail [0x25260..0x25bd0]
ai_combat	0x2ad58	264		0	ambiguous	type_AI_combat_data::get_enchantment_value	gap 10 dc vs 4 retail [0x25260..0x25bd0]
ai_combat	0x2ae60	162		0	ambiguous	type_AI_combat_data::cast_enchantment	gap 10 dc vs 4 retail [0x25260..0x25bd0]
ai_combat	0x2af04	178		0	ambiguous	type_AI_combat_data::cast_enchantment	gap 10 dc vs 4 retail [0x25260..0x25bd0]
ai_combat	0x2afb8	126		0	ambiguous	type_AI_combat_data::get_summoning_value	gap 10 dc vs 4 retail [0x25260..0x25bd0]
ai_combat	0x2b038	90		0	ambiguous	type_AI_combat_data::cast_summoning	gap 10 dc vs 4 retail [0x25260..0x25bd0]
ai_combat	0x2b32c	82		0	ambiguous	type_AI_combat_data::cast_spells	gap 2 dc vs 0 retail [0x25bd0..0x26170]
ai_combat	0x2b380	136		0	ambiguous	type_AI_combat_data::inflict_catagory_damage	gap 2 dc vs 0 retail [0x25bd0..0x26170]
ai_combat	0x2b890	58		0	ambiguous	type_AI_combat_data::do_ranged_combat	gap 3 dc vs 0 retail [0x26450..0x264d0]
ai_combat	0x2b8cc	62		0	ambiguous	type_AI_combat_data::do_melee_combat	gap 3 dc vs 0 retail [0x26450..0x264d0]
ai_combat	0x2b90c	58		0	ambiguous	type_AI_combat_data::do_melee_combat	gap 3 dc vs 0 retail [0x26450..0x264d0]
ai_combat	0x2bcd8	146		0	ambiguous	do_eagle_eye	gap 2 dc vs 1 retail [0x26bc0..0x26ee0]
ai_combat	0x2bd6c	232		0	ambiguous	create_skeletons	gap 2 dc vs 1 retail [0x26bc0..0x26ee0]
ai_combat	0x2c27c	876		0	ambiguous	AI_value_of_combat	gap 9 dc vs 4 retail [0x27210..0x27750]
ai_combat	0x2c5e8	44		0	ambiguous	AI_value_of_combat	gap 9 dc vs 4 retail [0x27210..0x27750]
ai_combat	0x2c614	20		0	ambiguous	AI_approximate_strength	gap 9 dc vs 4 retail [0x27210..0x27750]
ai_combat	0x2c628	64		0	ambiguous	AI_approximate_strength	gap 9 dc vs 4 retail [0x27210..0x27750]
ai_combat	0x2c668	40		0	ambiguous	hero::GetPrimarySkill	gap 9 dc vs 4 retail [0x27210..0x27750]
ai_combat	0x2c690	8		0	ambiguous	hero::get_aggression	gap 9 dc vs 4 retail [0x27210..0x27750]
ai_combat	0x2c698	10		0	ambiguous	type_monster_data::operator<	gap 9 dc vs 4 retail [0x27210..0x27750]
ai_combat	0x2c6a4	4		0	ambiguous	type_AI_combat_data::get_mana	gap 9 dc vs 4 retail [0x27210..0x27750]
ai_combat	0x2c6a8	4		0	ambiguous	type_AI_combat_data::get_army	gap 9 dc vs 4 retail [0x27210..0x27750]
ai_player	0x2dd40	34		0	ambiguous	type_town_threat_checker::type_town_threat_checker	gap 11 dc vs 4 retail [0x28410..0x28710]
ai_player	0x2dd64	260		0	ambiguous	type_town_threat_checker::check_towns	gap 11 dc vs 4 retail [0x28410..0x28710]
ai_player	0x2de68	66		0	ambiguous	type_town_threat_checker::clear_marks	gap 11 dc vs 4 retail [0x28410..0x28710]
ai_player	0x2deac	242		0	ambiguous	type_town_threat_checker::mark_towns	gap 11 dc vs 4 retail [0x28410..0x28710]
ai_player	0x2dfa0	4		0	ambiguous	type_town_threat_checker::is_marked	gap 11 dc vs 4 retail [0x28410..0x28710]
ai_player	0x2dfa4	18		0	ambiguous	type_town_threat_checker::mark_town	gap 11 dc vs 4 retail [0x28410..0x28710]
ai_player	0x2dfb8	50		0	ambiguous	type_garrison_purchaser::type_garrison_purchaser	gap 11 dc vs 4 retail [0x28410..0x28710]
ai_player	0x2dfec	4		0	ambiguous	type_garrison_purchaser::clear_marks	gap 11 dc vs 4 retail [0x28410..0x28710]
ai_player	0x2dff0	4		0	ambiguous	type_garrison_purchaser::is_marked	gap 11 dc vs 4 retail [0x28410..0x28710]
