# generator: homm3.analysis.dc_callgraph
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE - a
# `callgraph-unique` row needs retail-corroborated
# promotion into a VA() claim.
unit	dc_offset	proposed_rva	candidates	grade	name	detail
ai	0x2544c			no-signal	combatManager::mark_multiheaded_enemy	gap 21 dc vs 22 retail [0x1f890..0x22440]
ai	0x256a0			no-signal	combatManager::mark_enemy_attacks	gap 21 dc vs 22 retail [0x1f890..0x22440]
ai	0x25998			no-signal	combatManager::choose_defense_hex	gap 21 dc vs 22 retail [0x1f890..0x22440]
ai	0x25b0c			no-signal	combatManager::attempt_shooter_defense	gap 21 dc vs 22 retail [0x1f890..0x22440]
ai	0x25c80			no-signal	combatManager::choose_to_run	gap 21 dc vs 22 retail [0x1f890..0x22440]
ai	0x25df8			no-signal	combatManager::has_ranged_advantage	gap 21 dc vs 22 retail [0x1f890..0x22440]
ai	0x2600c			no-signal	combatManager::choose_creature_spell	gap 21 dc vs 22 retail [0x1f890..0x22440]
ai	0x26140			no-signal	combatManager::choose_resurrect_action	gap 21 dc vs 22 retail [0x1f890..0x22440]
ai	0x26464			no-signal	combatManager::choose_spell_action	gap 21 dc vs 22 retail [0x1f890..0x22440]
ai	0x264fc			no-signal	combatManager::should_stay_in_castle	gap 21 dc vs 22 retail [0x1f890..0x22440]
ai	0x26600			no-signal	combatManager::mark_firewalls	gap 21 dc vs 22 retail [0x1f890..0x22440]
ai	0x266d4			no-signal	combatManager::choose_melee_target	gap 21 dc vs 22 retail [0x1f890..0x22440]
ai	0x26ee0			no-signal	combatManager::choose_melee_action	gap 21 dc vs 22 retail [0x1f890..0x22440]
ai	0x26fa8			no-signal	combatManager::place_shooter	gap 21 dc vs 22 retail [0x1f890..0x22440]
ai	0x27138			no-signal	combatManager::DoCompAI	gap 21 dc vs 22 retail [0x1f890..0x22440]
ai	0x27200			no-signal	combatManager::berserk_attack	gap 21 dc vs 22 retail [0x1f890..0x22440]
ai_combat	0x29f58	0x24120	0x24120	callgraph-unique	type_AI_combat_data::initialize_creatures	gap 3 dc vs 2 retail [0x23ee0..0x24880]
ai_combat	0x2a470	0x24790	0x24790	callgraph-unique	type_AI_combat_data::check_wall_archery_penalty	gap 3 dc vs 2 retail [0x23ee0..0x24880]
ai_combat	0x2a52c			no-signal	type_AI_combat_data::get_catagory	gap 3 dc vs 2 retail [0x23ee0..0x24880]
ai_combat	0x2ab3c	0x253e0	0x253e0	callgraph-unique	type_AI_combat_data::has_creature	gap 10 dc vs 4 retail [0x25260..0x25bd0]
ai_combat	0x2ab88			no-signal	type_AI_combat_data::get_mass_damage_value	gap 10 dc vs 4 retail [0x25260..0x25bd0]
ai_combat	0x2ac18		0x253e0,0x25510,0x25b10	callgraph-narrowed	type_AI_combat_data::get_mass_damage_value	gap 10 dc vs 4 retail [0x25260..0x25bd0]
ai_combat	0x2ac58	0x25b10	0x25b10	callgraph-unique	type_AI_combat_data::cast_mass_damage_spell	gap 10 dc vs 4 retail [0x25260..0x25bd0]
ai_combat	0x2ace4			no-signal	type_AI_combat_data::get_enchantment_value	gap 10 dc vs 4 retail [0x25260..0x25bd0]
ai_combat	0x2ad58		0x253e0,0x25510,0x25b10	callgraph-narrowed	type_AI_combat_data::get_enchantment_value	gap 10 dc vs 4 retail [0x25260..0x25bd0]
ai_combat	0x2ae60			no-signal	type_AI_combat_data::cast_enchantment	gap 10 dc vs 4 retail [0x25260..0x25bd0]
ai_combat	0x2af04		0x253e0,0x25510,0x25b10	callgraph-narrowed	type_AI_combat_data::cast_enchantment	gap 10 dc vs 4 retail [0x25260..0x25bd0]
ai_combat	0x2afb8		0x253e0,0x25510,0x25b10	callgraph-narrowed	type_AI_combat_data::get_summoning_value	gap 10 dc vs 4 retail [0x25260..0x25bd0]
ai_combat	0x2b038		0x253e0,0x25510,0x25b10	callgraph-narrowed	type_AI_combat_data::cast_summoning	gap 10 dc vs 4 retail [0x25260..0x25bd0]
ai_combat	0x2bcd8		0x26df0	callgraph-narrowed	do_eagle_eye	gap 2 dc vs 1 retail [0x26bc0..0x26ee0] [demoted: not an injective monotone map]
ai_combat	0x2bd6c		0x26df0	callgraph-narrowed	create_skeletons	gap 2 dc vs 1 retail [0x26bc0..0x26ee0] [demoted: not an injective monotone map]
ai_combat	0x2c27c			no-signal	AI_value_of_combat	gap 9 dc vs 4 retail [0x27210..0x27750]
ai_combat	0x2c5e8			no-signal	AI_value_of_combat	gap 9 dc vs 4 retail [0x27210..0x27750]
ai_combat	0x2c614			no-signal	AI_approximate_strength	gap 9 dc vs 4 retail [0x27210..0x27750]
ai_combat	0x2c628			no-signal	AI_approximate_strength	gap 9 dc vs 4 retail [0x27210..0x27750]
ai_combat	0x2c668			no-signal	hero::GetPrimarySkill	gap 9 dc vs 4 retail [0x27210..0x27750]
ai_combat	0x2c690			no-signal	hero::get_aggression	gap 9 dc vs 4 retail [0x27210..0x27750]
ai_combat	0x2c698			no-signal	type_monster_data::operator<	gap 9 dc vs 4 retail [0x27210..0x27750]
ai_combat	0x2c6a4			no-signal	type_AI_combat_data::get_mana	gap 9 dc vs 4 retail [0x27210..0x27750]
ai_combat	0x2c6a8			no-signal	type_AI_combat_data::get_army	gap 9 dc vs 4 retail [0x27210..0x27750]
ai_player	0x2dd40			no-signal	type_town_threat_checker::type_town_threat_checker	gap 11 dc vs 4 retail [0x28410..0x28710]
ai_player	0x2dd64			no-signal	type_town_threat_checker::check_towns	gap 11 dc vs 4 retail [0x28410..0x28710]
ai_player	0x2de68			no-signal	type_town_threat_checker::clear_marks	gap 11 dc vs 4 retail [0x28410..0x28710]
ai_player	0x2deac			no-signal	type_town_threat_checker::mark_towns	gap 11 dc vs 4 retail [0x28410..0x28710]
ai_player	0x2dfa0			no-signal	type_town_threat_checker::is_marked	gap 11 dc vs 4 retail [0x28410..0x28710]
ai_player	0x2dfa4			no-signal	type_town_threat_checker::mark_town	gap 11 dc vs 4 retail [0x28410..0x28710]
ai_player	0x2dfb8			no-signal	type_garrison_purchaser::type_garrison_purchaser	gap 11 dc vs 4 retail [0x28410..0x28710]
ai_player	0x2dfec			no-signal	type_garrison_purchaser::clear_marks	gap 11 dc vs 4 retail [0x28410..0x28710]
ai_player	0x2dff0			no-signal	type_garrison_purchaser::is_marked	gap 11 dc vs 4 retail [0x28410..0x28710]
ai_player	0x2dff4			no-signal	type_garrison_purchaser::mark_town	gap 11 dc vs 4 retail [0x28410..0x28710]
ai_player	0x2e094			no-signal	type_AI_player::get_resource_value	gap 11 dc vs 4 retail [0x28410..0x28710]
ai_player	0x2f280			no-signal	type_AI_player::calculate_reserve	gap 13 dc vs 2 retail [0x29ab0..0x2a150]
ai_player	0x2f4b0			no-signal	value_of_dwelling	gap 13 dc vs 2 retail [0x29ab0..0x2a150]
ai_player	0x2f548			no-signal	value_of_dwelling_upgrade	gap 13 dc vs 2 retail [0x29ab0..0x2a150]
ai_player	0x2f5fc			no-signal	sum_player_dwellings	gap 13 dc vs 2 retail [0x29ab0..0x2a150]
ai_player	0x2f694			no-signal	fill_prohibited_array	gap 13 dc vs 2 retail [0x29ab0..0x2a150]
ai_player	0x2f8a0			no-signal	value_of_castle_upgrade	gap 13 dc vs 2 retail [0x29ab0..0x2a150]
ai_player	0x2f998			no-signal	value_of_silo	gap 13 dc vs 2 retail [0x29ab0..0x2a150]
ai_player	0x2f9bc			no-signal	value_of_horde	gap 13 dc vs 2 retail [0x29ab0..0x2a150]
ai_player	0x2fa88			no-signal	value_of_horde_upgrade	gap 13 dc vs 2 retail [0x29ab0..0x2a150]
ai_player	0x2fb2c			no-signal	value_of_hall	gap 13 dc vs 2 retail [0x29ab0..0x2a150]
ai_player	0x2fdac			no-signal	value_of_building	gap 13 dc vs 2 retail [0x29ab0..0x2a150]
ai_player	0x30048			no-signal	get_requirements	gap 13 dc vs 2 retail [0x29ab0..0x2a150]
ai_player	0x30150			no-signal	get_full_cost	gap 13 dc vs 2 retail [0x29ab0..0x2a150]
ai_player	0x302e0			no-signal	mark_values	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
ai_player	0x30334		0x2a2b0,0x2a580	callgraph-narrowed	type_AI_player::check_trade_supply	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
ai_player	0x304cc			no-signal	type_AI_player::trade_resources	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
ai_player	0x305b4		0x2a2b0,0x2a580	callgraph-narrowed	type_AI_player::can_trade_resources	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
ai_player	0x309d4			no-signal	type_AI_player::build_markets	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
ai_player	0x30a70			no-signal	type_AI_player::do_resource_trade	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
ai_player	0x30d6c			no-signal	type_AI_player::purchase_building	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
ai_player	0x31030			no-signal	MaxBuyableCreatures	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
ai_player	0x31094			no-signal	type_AI_player::purchase_buildings	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
ai_player	0x310f4			no-signal	type_AI_player::buy_creatures	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
ai_player	0x31398			no-signal	type_AI_player::buy_mage_guild	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
ai_player	0x31514			no-signal	move_creatures	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
ai_player	0x315bc			no-signal	type_AI_creature_swapper::type_AI_creature_swapper	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
ai_player	0x315d8			no-signal	type_AI_creature_swapper::add_creatures	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
ai_player	0x3166c			no-signal	type_AI_creature_swapper::do_best_swap	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
ai_player	0x317d4			no-signal	calculate_improvement	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
ai_player	0x31808			no-signal	type_AI_creature_swapper::do_swap	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
ai_player	0x31864			no-signal	type_AI_creature_swapper::get_swap_value	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
ai_player	0x31924			no-signal	type_AI_creature_swapper::dump_extra_creature	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
ai_player	0x31a00			no-signal	type_AI_creature_swapper::choose_weakest_army	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
ai_player	0x31af4			no-signal	type_AI_creature_swapper::value_of_adding_army	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
ai_player	0x31e3c			no-signal	type_AI_creature_purchaser::type_AI_creature_purchaser	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
ai_player	0x31ed4			no-signal	type_AI_creature_purchaser::type_AI_creature_purchaser	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
ai_player	0x31f24			no-signal	type_AI_creature_purchaser::type_AI_creature_purchaser	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
ai_player	0x31f94			no-signal	type_AI_creature_purchaser::set	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
