# Dreamcast CodeView corpus - DC offsets, reference evidence (see README.md).
proc,module,kind,sp_offset,type,name
heroWindowManager::FizzleForwardX,winmgr.obj,param,fp+0x10c,T_INT4(0074),height
heroWindowManager::FizzleForwardX,winmgr.obj,param,fp+0x110,T_INT4(0074),iFadeTime
heroWindowManager::FizzleForwardX,winmgr.obj,local,sp+0x68,0x103A,bmpFizzleTarget
heroWindowManager::FizzleForwardX,winmgr.obj,local,sp+0x24,0x1077,DEFAULT_FADE_TIME
heroWindowManager::FizzleForwardX,winmgr.obj,local,sp+0x64,T_INT4(0074),iColorCyclingSave
heroWindowManager::FizzleForwardX,winmgr.obj,local,sp+0x5c,T_ULONG(0022),next_frame_time
heroWindowManager::FizzleForwardX,winmgr.obj,local,sp+0x58,0x1077,factor
heroWindowManager::FizzleForwardX,winmgr.obj,local,sp+0x30,T_32PUSHORT(0421),dst
heroWindowManager::FizzleForwardX,winmgr.obj,local,sp+0x3c,T_INT4(0074),y
heroWindowManager::FizzleForwardX,winmgr.obj,local,sp+0x38,0x103F,odst
heroWindowManager::FizzleForwardX,winmgr.obj,local,sp+0x2c,0x103F,src
heroWindowManager::FizzleForwardX,winmgr.obj,local,sp+0x24,0x103F,s
heroWindowManager::FizzleForwardX,winmgr.obj,local,sp+0x44,T_32PUSHORT(0421),d
heroWindowManager::FizzleForwardX,winmgr.obj,local,sp+0x28,0x103F,od
heroWindowManager::FizzleForwardX,winmgr.obj,local,sp+0x34,T_INT4(0074),x
heroWindowManager::FizzleForwardX,winmgr.obj,local,sp+0x4c,0x1077,or
heroWindowManager::FizzleForwardX,winmgr.obj,local,sp+0x4c,0x1077,og
heroWindowManager::ReleaseFizzleSource,winmgr.obj,param,sp+0x18,0x1011,this
heroWindowManager::NextFlashFrame,winmgr.obj,param,sp+0x34,0x1011,this
heroWindowManager::NextFlashFrame,winmgr.obj,param,sp+0x38,T_INT4(0074),startX
heroWindowManager::NextFlashFrame,winmgr.obj,param,sp+0x3c,T_INT4(0074),startY
heroWindowManager::NextFlashFrame,winmgr.obj,param,sp+0x40,T_INT4(0074),width
heroWindowManager::NextFlashFrame,winmgr.obj,param,sp+0x44,T_INT4(0074),height
heroWindowManager::NextFlashFrame,winmgr.obj,param,sp+0x48,T_INT4(0074),iFadeTime
heroWindowManager::NextFlashFrame,winmgr.obj,local,sp+0x14,T_ULONG(0022),next_frame_time
heroWindowManager::Flash,winmgr.obj,param,fp+0x0,0x1011,this
heroWindowManager::Flash,winmgr.obj,param,fp+0x4,T_INT4(0074),startX
