# Dreamcast CodeView corpus - DC offsets, reference evidence (see README.md).
name,size,members,statics,bases
VictoryConditionStruct,36,22,0,
VideomodeChoice,88,0,0,CAdvPopup
WagonInfo,4,6,0,
WaterWheelInfo,4,2,0,
WindMillInfo,4,4,0,
WiseTreeInfo,4,3,0,
WitchHutInfo,4,3,0,
_CONTEXT,228,27,0,
_DDBLTBATCH,20,5,0,
_DDBLTFX,100,30,0,
_DDCAPS_DX6,380,57,0,
_DDCOLORKEY,8,2,0,
_DDOVERLAYFX,56,14,0,
_DDPIXELFORMAT,32,27,0,
_DDSCAPS,4,1,0,
_DDSCAPS2,16,4,0,
_DDSURFACEDESC,108,19,0,
_DDSURFACEDESC2,124,19,0,
_DISPATCHER_CONTEXT,16,4,0,
_DPCOMPORTADDRESS,20,5,0,
_DSBCAPS,20,5,0,
_DSBPOSITIONNOTIFY,8,2,0,
_DSBUFFERDESC,20,5,0,
_DSCAPS,96,24,0,
_EXCEPTION_RECORD,80,6,0,
_FILETIME,8,2,0,
_FSDEVICEDESC,720,10,0,
_FSFILEDESC,9748,14,0,
_GUID,16,4,0,
_Is_integer<char,1,0,0,
_LARGE_INTEGER::__unnamed,8,2,0,
_MEMORYSTATUS,32,8,0,
_OSVERSIONINFOW,276,6,0,
_SYSTEMTIME,16,8,0,
_ULARGE_INTEGER::__unnamed,8,2,0,
_WIN32_FIND_DATAW,560,8,0,
__false_type,1,0,0,
__true_type,1,0,0,
__type_traits<CNetMsg,1,0,0,
__type_traits<LODEntry>,1,0,0,
__type_traits<NewmapCell::TObjectCell>,1,0,0,
__type_traits<SecondarySkillData>,1,0,0,
__type_traits<army,1,0,0,
__type_traits<enum,1,0,0,
__type_traits<pathCell,1,0,0,
__type_traits<std::vector<char,1,0,0,
__type_traits<type_creature_value>,1,0,0,
__type_traits<type_monster_data>,1,0,0,
__type_traits<widget,1,0,0,
_div_t,8,2,0,
advManager,960,71,1,baseManager
army,1296,107,0,
armyGroup,56,2,0,
baseManager,56,6,0,
bitmapBackedTextWidget,84,1,0,textWidget
bitmapBorder,56,1,0,border
bitmapBorder16,56,1,0,border
boat,40,7,0,type_obscuring_object
border,52,0,0,widget
button,96,7,1,widget
