# Dreamcast CodeView corpus - DC offsets, reference evidence (see README.md).
offset,cb,kind,name,module,file,line,debug_start,debug_end,params,locals
0x198b48,30,static,DDCreatePrimary,wingraph.obj,E:\gamedcs\wingraph.cpp,109,4,22,0,0
0x198b68,100,static,DDSetupClipper,wingraph.obj,E:\gamedcs\wingraph.cpp,130,0,0,0,0
0x198bcc,400,global,DDInitGraphics,wingraph.obj,E:\gamedcs\wingraph.cpp,156,10,314,2,1
0x198d5c,720,global,RobAppBlit,wingraph.obj,E:\gamedcs\wingraph.cpp,260,26,696,1,5
0x19902c,38,global,DDAppBlit,wingraph.obj,E:\gamedcs\wingraph.cpp,370,4,30,1,0
0x199054,144,global,DDAppBlitX,wingraph.obj,E:\gamedcs\wingraph.cpp,529,8,70,3,2
0x1990e4,134,static,DDRestoreFrontBuffer,wingraph.obj,E:\gamedcs\wingraph.cpp,719,10,122,1,0
0x19916c,4,static,DDBlitFromFront,wingraph.obj,E:\gamedcs\wingraph.cpp,861,0,0,0,0
0x199170,320,global,DDBlit,wingraph.obj,E:\gamedcs\wingraph.cpp,931,20,306,5,3
0x1992b0,480,global,DDCreateSurface,wingraph.obj,E:\gamedcs\wingraph.cpp,1013,28,458,4,3
0x199490,264,global,BMCreateSurface,wingraph.obj,E:\gamedcs\wingraph.cpp,1110,18,244,2,4
0x199598,308,static,DDCreateMouseSurfaces,wingraph.obj,E:\gamedcs\wingraph.cpp,1238,16,244,0,2
0x1996cc,88,static,DDReleaseMouseSurfaces,wingraph.obj,E:\gamedcs\wingraph.cpp,1289,6,66,0,0
0x199724,2424,static,DDSD,wingraph.obj,E:\gamedcs\wingraph.cpp,1313,28,2176,3,1
0x19a09c,118,static,DDCleanUpWinGraphics,wingraph.obj,E:\gamedcs\wingraph.cpp,1476,10,106,0,0
0x19a114,246,global,DDRestoreSurfaces,wingraph.obj,E:\gamedcs\wingraph.cpp,1627,6,238,0,0
0x19a20c,40,global,ResizeWindow,wingraph.obj,E:\gamedcs\wingraph.cpp,1691,0,0,0,0
0x19a234,428,static,DDSetFullScreenStatus,wingraph.obj,E:\gamedcs\wingraph.cpp,1712,26,404,1,2
0x19a3e0,10,static,$E507,wingraph.obj,E:\gamedcs\wingraph.cpp,1820,0,6,0,0
0x19a3ec,16,static,$E508,wingraph.obj,E:\gamedcs\wingraph.cpp,1820,4,8,0,0
0x19a3fc,10,static,$E510,wingraph.obj,E:\gamedcs\wingraph.cpp,1821,0,6,0,0
0x19a408,16,static,$E511,wingraph.obj,E:\gamedcs\wingraph.cpp,1821,4,8,0,0
0x19a418,4,global,GetDesktopInfo,wingraph.obj,E:\gamedcs\wingraph.cpp,1833,0,0,0,0
0x19a41c,6,global,GetDesktopWidth,wingraph.obj,E:\gamedcs\wingraph.cpp,1857,0,2,0,0
0x19a424,6,global,GetDesktopHeight,wingraph.obj,E:\gamedcs\wingraph.cpp,1870,0,2,0,0
0x19a42c,20,global,InitGraphics,wingraph.obj,E:\gamedcs\wingraph.cpp,1876,4,12,0,0
0x19a440,4,global,AppPaint,wingraph.obj,E:\gamedcs\wingraph.cpp,1882,0,0,2,0
0x19a444,16,global,CleanUpWinGraphics,wingraph.obj,E:\gamedcs\wingraph.cpp,1916,4,8,0,0
0x19a454,216,global,SetFullScreenStatus,wingraph.obj,E:\gamedcs\wingraph.cpp,1922,10,182,1,0
