# Dreamcast CodeView corpus - DC offsets, reference evidence (see README.md).
class,offset,type,name
CCombatMainMsg,24,T_INT4(0074),m_nextActionExtra
CCombatMainMsg,28,T_INT4(0074),m_nextActionGridIndex
CCombatMainMsg,32,T_INT4(0074),m_nextActionGridIndex2
CCombatMainMsg,36,T_INT4(0074),m_seed
CCombatTypeMsg,20,T_INT4(0074),m_quick
CDPlay,4,DPCAPS,m_caps
CDPlay,44,0x2A02,m_lpDP
CDPlay,48,_GUID,m_guid
CDPlay,64,T_LONG(0012),m_hRes
CDPlay,68,0x2979,m_pSessionArray
CDPlay,72,0x295A,m_pConnectionArray
CDPlay,76,0x297C,m_pGroupArray
CDPlay,80,0x297E,m_pPlayerArray
CDPlay,84,T_UCHAR(0020),m_connected
CDPlay,85,T_UCHAR(0020),m_inSession
CDPlay,86,T_UCHAR(0020),m_isHost
CDPlayAddressElement,0,_GUID,m_guid
CDPlayAddressElement,16,T_32PUCHAR(0420),m_pData
CDPlayAddressElement,20,T_ULONG(0022),m_size
CDPlayConnection,0,_GUID,guidSP
CDPlayConnection,16,T_32PUCHAR(0420),pConnection
CDPlayConnection,20,0x256D,sName
CDPlayConnection,148,T_ULONG(0022),size
CDPlayHeroes,96,CDPlayMsg,dpMsg
CDPlayHeroes,104,std::deque<CNetMsg,msgQueue
CDPlayHeroes,144,0x2563,sLocalIPAddress
CDPlayHeroes,224,T_ULONG(0022),confirmId
CDPlayHeroes,228,T_ULONG(0022),currMessageId
CDPlayHeroes,232,0x2BAB,m_pNetMsgHandler
CDPlayLobby,88,0x2ACB,m_lpLobby
CDPlayLobby,92,0x2A7B,m_pAddressArray
CDPlayMsg,0,T_32PUCHAR(0420),pData
CDPlayMsg,4,T_ULONG(0022),dataSize
CDPlayPlayer,0,0x2DB0,m_sName
CDPlayPlayer,256,T_ULONG(0022),m_dpid
CDPlaySession,0,T_ULONG(0022),dwFlags
CDPlaySession,4,_GUID,guidInstance
CDPlaySession,20,_GUID,guidApp
CDPlaySession,36,T_ULONG(0022),maxPlayers
CDPlaySession,40,T_ULONG(0022),playerCount
CDPlaySession,44,0x256D,sessionName
CDPlaySession,172,0x2563,password
CDPlaySession,252,T_ULONG(0022),dwUser1
CDPlaySession,256,T_ULONG(0022),dwUser2
CDPlaySession,260,T_ULONG(0022),dwUser3
CDPlaySession,264,T_ULONG(0022),dwUser4
CDestroyPlayerMsg,20,T_ULONG(0022),m_dpid
CDiffHeader,0,T_INT4(0074),m_numBytes
CDiffHeader,4,T_INT4(0074),m_oldNumBytes
CDiffHeader,8,T_UCHAR(0020),m_copy
CDiffMaker,0,T_32PUCHAR(0420),m_oldData
CDiffMaker,4,T_32PUCHAR(0420),m_newData
CDiffMaker,8,T_INT4(0074),m_oldSize
CDiffMaker,12,T_INT4(0074),m_newSize
CFindFile,0,T_32PVOID(0403),m_searchHandle
CFindFile,4,_WIN32_FIND_DATAW,m_findData
CGameChatEdit,112,T_UCHAR(0020),activated
CGameHeaderInfoInitMsgEx,28,0x248F,m_version
CGameHeaderInfoMsg,20,T_INT4(0074),m_nbr
CGameHeaderInfoMsg,24,GameSelectionHeadersStruct,m_headerInfo
CGameTransferDlg,80,CGameTransferSmack,smack
CGameTransferDlg,100,T_UCHAR(0020),m_sending
CGameTransferSmack,0,T_INT4(0074),m_x
