# Dreamcast CodeView corpus - DC offsets, reference evidence (see README.md).
seg,offset,scope,type,name,module
3,0x1689c,global,T_NOTYPE(0000),`string',remote.obj
3,0x168ac,global,0x2D14,`string',remote.obj
3,0x168b4,global,T_NOTYPE(0000),`string',remote.obj
3,0x168bc,global,T_NOTYPE(0000),`string',remote.obj
3,0x168d0,global,T_NOTYPE(0000),`string',remote.obj
3,0x168e8,global,T_NOTYPE(0000),`string',remote.obj
3,0x168fc,global,T_NOTYPE(0000),`string',remote.obj
3,0x1690c,global,T_NOTYPE(0000),`string',remote.obj
3,0x16920,global,T_NOTYPE(0000),`string',remote.obj
3,0x13c54,global,0x1865,`string',remote.obj
3,0x16934,global,T_NOTYPE(0000),`string',remote.obj
3,0x16950,global,T_NOTYPE(0000),`string',remote.obj
3,0x1696c,global,T_NOTYPE(0000),`string',remote.obj
3,0x1697c,global,T_NOTYPE(0000),`string',remote.obj
3,0x169a0,global,T_NOTYPE(0000),`string',remote.obj
3,0x169c0,global,T_NOTYPE(0000),`string',remote.obj
3,0x169e0,global,T_NOTYPE(0000),`string',remote.obj
3,0x169f4,global,T_NOTYPE(0000),`string',remote.obj
3,0x16a08,global,T_NOTYPE(0000),`string',remote.obj
3,0x16a30,global,T_NOTYPE(0000),`string',remote.obj
3,0x16a5c,global,T_NOTYPE(0000),`string',remote.obj
3,0x16a80,global,T_NOTYPE(0000),`string',remote.obj
3,0x16a98,global,T_NOTYPE(0000),`string',remote.obj
3,0x16abc,global,T_NOTYPE(0000),`string',remote.obj
3,0x16acc,global,T_NOTYPE(0000),`string',remote.obj
3,0x16ae0,global,T_NOTYPE(0000),`string',remote.obj
3,0x16af0,global,T_NOTYPE(0000),`string',remote.obj
3,0x16b0c,global,0x2D15,`string',remote.obj
3,0x16b3c,global,T_NOTYPE(0000),`string',remote.obj
3,0x16b68,global,T_NOTYPE(0000),`string',remote.obj
3,0x16b78,global,T_NOTYPE(0000),`string',remote.obj
3,0x16b94,global,T_NOTYPE(0000),`string',remote.obj
3,0xd284,global,0x1C91,medFont,remote.obj
3,0x137ac,global,T_UCHAR(0020),gbMPlayerHost,remote.obj
3,0x314c0,static,0x2D65,kLavaMask,remote.obj
3,0x2e250,global,0x2404,gpMouseManager,remote.obj
3,0x2c6a4,global,0x28AC,gText,remote.obj
3,0xb20,static,0x100B,$S500,remote.obj
3,0xaec,static,0x100B,$S441,remote.obj
3,0xaf8,static,0x100B,$S450,remote.obj
3,0xaf0,static,0x100B,$S444,remote.obj
3,0xafc,static,0x100B,$S453,remote.obj
3,0xaf4,static,0x100B,$S447,remote.obj
3,0xb08,static,0x100B,$S462,remote.obj
3,0xb00,static,0x100B,$S456,remote.obj
3,0xb0c,static,0x100B,$S465,remote.obj
3,0xb04,static,0x100B,$S459,remote.obj
3,0xb10,static,0x100B,$S468,remote.obj
3,0xb14,static,0x100B,$S491,remote.obj
3,0xcc2c,global,0x2BFC,iMPNetProtocol,remote.obj
3,0xb18,static,0x100B,$S494,remote.obj
3,0xb1c,static,0x100B,$S497,remote.obj
2,0x515c,global,T_NOTYPE(0000),CWaitForReadyPlayersDlg::`vftable',remote.obj
2,0x4f08,global,T_NOTYPE(0000),CAutoArray<CDPlayPlayer>::`vftable',remote.obj
3,0x2e258,global,0x2DCD,gpAdvManager,remote.obj
2,0x4f24,global,T_NOTYPE(0000),CChatEdit::`vftable',remote.obj
3,0x31a50,global,T_SHORT(0011),SCREEN_HEIGHT,remote.obj
3,0x314c4,global,0x1A3B,gsThisNetPlayerInfo,remote.obj
3,0x2c9cc,global,T_UCHAR(0020),gbInCampaign,remote.obj
3,0x314e0,static,0x2D65,kRockMask,remote.obj
3,0x2c9d8,global,0x1A39,gcTCPAddress,remote.obj
3,0x314e4,static,0x2D65,kDirtMask,remote.obj
3,0x2e264,global,T_INT4(0074),giNumHumanPlayers,remote.obj
3,0x314e8,global,0x2CAE,g_turnDuration,remote.obj
3,0x314fc,static,0x2D65,kSnowMask,remote.obj
3,0x33b2c,global,0x3577,GameText,remote.obj
3,0x2ca0c,global,T_INT4(0074),giCurWatchPlayer,remote.obj
3,0x2e270,global,0x241D,gpWindowManager,remote.obj
3,0x1678c,global,T_UCHAR(0020),g_weMoved,remote.obj
3,0x31500,global,0x2CD9,logFile,remote.obj
3,0x313bc,global,T_INT4(0074),giCurPlayer,remote.obj
3,0x1677c,global,T_UCHAR(0020),gbFollowPlayerMode,remote.obj
3,0x31a54,global,T_SHORT(0011),SCREEN_WIDTH,remote.obj
3,0x137a8,global,T_UCHAR(0020),gbMPlayer,remote.obj
2,0x4f8c,global,T_NOTYPE(0000),CAnimatedDlg::`vftable',remote.obj
3,0x313c0,global,0x1C51,gpCurPlayer,remote.obj
3,0xfa8,global,T_32PRCHAR(0470),"std::__node_alloc<0,0>::_S_start_free",remote.obj
3,0xf68,global,0x13D3,"std::__node_alloc<0,0>::_S_free_list",remote.obj
3,0xfac,global,T_32PRCHAR(0470),"std::__node_alloc<0,0>::_S_end_free",remote.obj
3,0xfb0,global,T_UINT4(0075),"std::__node_alloc<0,0>::_S_heap_size",remote.obj
2,0x5194,global,T_NOTYPE(0000),CNetMsgHandler::`vftable',remote.obj
3,0x31660,static,0x2D65,kRoughMask,remote.obj
2,0x4ec8,static,0x3DA8,cEXECUTABLE_NAME,remote.obj
3,0x31664,static,0x2D65,kSwampMask,remote.obj
2,0x25dc,global,0x10EE,GUID_Heroes3,remote.obj
3,0x16780,global,0x3DB6,pDPlay,remote.obj
3,0x313d0,global,T_UCHAR(0020),giCurWatchPlayerBit,remote.obj
2,0x5120,global,T_NOTYPE(0000),CWaitForRemoteBattleDlg::`vftable',remote.obj
3,0x137b0,global,T_INT4(0074),giThisGamePos,remote.obj
2,0x4fc4,global,T_NOTYPE(0000),CLevelPickWaitDlg::`vftable',remote.obj
3,0x2e3d4,global,0x24DE,gMapName,remote.obj
2,0x5158,global,T_NOTYPE(0000),CSaveScreen::`vftable',remote.obj
2,0x48f4,global,T_NOTYPE(0000),CAutoArray<CDPlaySession>::`vftable',remote.obj
3,0x2e4dc,global,T_INT4(0074),iMPBaseType,remote.obj
3,0x1375c,global,T_UCHAR(0020),bDefeatedAllPlayers,remote.obj
3,0x2e4e0,global,0x2452,gpGame,remote.obj
3,0x31668,global,0x25CB,chatMan,remote.obj
2,0x4e34,static,0x3E00,cDPLAY_REGISTRY_KEY,remote.obj
2,0x4f80,global,T_NOTYPE(0000),CNetMsgHandlerPause::`vftable',remote.obj
3,0x16784,global,T_UCHAR(0020),g_lobbyLaunched,remote.obj
3,0x16788,global,T_UCHAR(0020),gbPlayerDrop,remote.obj
3,0x316a4,static,0x2D65,kSubterraneanMask,remote.obj
3,0x313d8,global,T_UCHAR(0020),giCurPlayerBit,remote.obj
3,0xa12c,global,0x3E46,akCreatureTypeTraits,remote.obj
3,0x316a8,static,0x2D65,kWaterMask,remote.obj
3,0x137a4,global,T_INT4(0074),gbRemoteOn,remote.obj
3,0xf38,global,T_UCHAR(0020),gbGoSolo,remote.obj
3,0x2d874,global,0x3EE7,gConfig,remote.obj
3,0x16778,global,T_UCHAR(0020),GameMode,remote.obj
3,0x316ac,static,0x2D65,kGrassMask,remote.obj
2,0x4ed4,global,T_NOTYPE(0000),CGameTransferDlg::`vftable',remote.obj
3,0xb914,global,T_INT4(0074),gbGameOver,remote.obj
2,0x4ffc,global,T_NOTYPE(0000),CDPlayHeroes::`vftable',remote.obj
3,0x316b0,static,0x2D65,kSandMask,remote.obj
3,0x16790,global,T_INT4(0074),g_playerTurn,remote.obj
3,0x2e508,global,T_INT4(0074),giEndSequence,remote.obj
3,0x16618,static,0x3FA2,army_pos,quicktownwindow.obj
2,0x4d50,static,0x1AE5,skill_loc,quickherowindow.obj
3,0x165c8,static,0x3FA2,army_pos,quickherowindow.obj
3,0x16518,static,T_INT4(0074),lastIMHoverID,puzzlewindow.obj
3,0x1651c,static,0x3FDC,minimum_percentage,puzzlewindow.obj
3,0x15be4,global,T_NOTYPE(0000),`string',playvideo.obj
3,0xaebc,global,T_UCHAR(0020),StopVideo,playvideo.obj
3,0x15bd0,global,0x4013,progname,playvideo.obj
3,0x15bb0,global,0x4014,libname,playvideo.obj
3,0x1f278,global,T_UCHAR(0020),PalMode,playvideo.obj
3,0x313c8,static,T_ULONG(0022),iLastFrameRateTimer,philai.obj
2,0x4cac,static,0x40D3,legion_artifacts,philai.obj
2,0x4cc0,static,0x1BC1,const_archery_value,philai.obj
2,0x4ccc,static,0x40DE,const_estate_value,philai.obj
3,0x2e274,global,0x4100,gpSearchArray,path.obj
3,0x2e3c4,global,0x430D,gpCombatManager,path.obj
3,0x15954,static,T_UCHAR(0020),__inside__,mousemgr.obj
3,0x310f8,static,T_ULONG(0022),update_time,mousemgr.obj
3,0x310f4,static,T_ULONG(0022),animate_time,mousemgr.obj
3,0x1595c,global,T_NOTYPE(0000),`string',mousemgr.obj
3,0x15968,global,0x184E,`string',mousemgr.obj
3,0x15978,global,0x184E,`string',mousemgr.obj
3,0x15988,global,T_NOTYPE(0000),`string',mousemgr.obj
3,0x15994,global,0x184E,`string',mousemgr.obj
3,0x159a4,global,0x184E,`string',mousemgr.obj
3,0x15958,static,T_UCHAR(0020),InUpdate,mousemgr.obj
3,0x31a50,global,T_SHORT(0011),SCREEN_HEIGHT,mousemgr.obj
3,0x14514,static,T_LONG(0012),YData,mousemgr.obj
2,0x48ac,global,T_NOTYPE(0000),mouseManager::`vftable',mousemgr.obj
3,0x310e0,global,0x1015,mdr1,mousemgr.obj
3,0x310f0,global,0x1E2F,msu,mousemgr.obj
3,0x31a54,global,T_SHORT(0011),SCREEN_WIDTH,mousemgr.obj
3,0x310fc,global,0x3476,SpriteSave,mousemgr.obj
3,0x14518,static,0x44D0,PointerSetResourceNames,mousemgr.obj
3,0x31110,global,0x1015,msr1,mousemgr.obj
3,0x1452c,global,0x233A,mouseManager::iHotSpot,mousemgr.obj
3,0x13bf4,global,T_32PVOID(0403),hwndApp,mousemgr.obj
3,0x1f29c,global,0x1096,PixelFormat,mousemgr.obj
3,0x14510,static,T_LONG(0012),XData,mousemgr.obj
3,0x1f280,global,0x1E2F,lpFrontBuffer,mousemgr.obj
3,0x1f290,global,0x1E2F,SaveMouseSurface,mousemgr.obj
3,0x1f294,global,0x1E2F,MouseWorkSurface,mousemgr.obj
3,0x1f28c,global,0x1E2F,MouseSurface,mousemgr.obj
3,0x1f290,global,0x1E2F,SaveMouseSurface,mousemgr.obj
3,0x1f28c,global,0x1E2F,MouseSurface,mousemgr.obj
3,0x2e6bc,static,0x3FE7,buffer,misc.obj
3,0x13e94,static,0x44D9,legal_cells,mapcell.obj
3,0x13e08,static,T_INT4(0074),lastIMHoverID,mainmenu.obj
3,0x13e0c,static,T_UCHAR(0020),check_disk_space,mainmenu.obj
3,0x13d18,global,T_NOTYPE(0000),`string',lodfile.obj
3,0x13d2c,global,T_NOTYPE(0000),`string',lodfile.obj
3,0x13d54,global,T_NOTYPE(0000),`string',lodfile.obj
