# every stored comment (HD-pressing addresses); kind r=repeatable, n=normal.
hd_va,kind,text
0x401e4a,n,x
0x401e4f,n,this
0x401e63,n,a4
0x401e64,n,count
0x401e66,n,pos
0x401e67,n,this
0x401e83,n,allocation_size
0x401e98,n,style
0x401e9a,n,back_color
0x401e9c,n,flipped
0x401e9e,n,sequence
0x401ea0,n,frame
0x401ea7,n,id
0x401ea8,n,h
0x401eaa,n,w
0x401eac,n,y
0x401ead,n,x
0x401eb2,n,this
0x401ec6,n,a4
0x401ec7,n,count
0x401ec9,n,pos
0x401eca,n,this
0x401ee2,n,allocation_size
0x401ef7,n,style
0x401ef9,n,justify
0x401efb,n,id
0x401f00,n,color
0x401f0c,n,text
0x401f0e,n,h
0x401f10,n,w
0x401f15,n,y
0x401f1a,n,x
0x401f1c,n,this
0x401f30,n,a4
0x401f37,n,count
0x401f39,n,pos
0x401f3a,n,this
0x401f45,n,allocation_size
0x401f5a,n,int
0x401f5c,n,back_color
0x401f5e,n,justify
0x401f60,n,textWidgetId
0x401f62,n,color
0x401f69,n,textString
0x401f6b,n,textWidgetHeight
0x401f70,n,textWidgetWidth
0x401f75,n,textWidgetY
0x401f77,n,textWidgetX
0x401f79,n,this
0x401f90,n,a4
0x401f91,n,count
0x401f93,n,pos
0x401f94,n,this
0x401f9f,n,allocation_size
0x401fb6,n,textInsetY
0x401fb8,n,textInsetX
0x401fba,n,iReadType
0x401fbc,n,textWidgetStyle
0x401fc1,n,textWidgetId
0x401fc3,n,backgroundFrame
0x401fca,n,justification
0x401fcc,n,colorIndex
0x401fd3,n,textString
0x401fd8,n,textStringSize
0x401fda,n,textWidgetHeight
0x401fdc,n,textWidgetWidth
0x401fe1,n,textWidgetY
0x401fe6,n,textWidgetX
0x401fe8,n,this
0x402055,n,allocation_size
0x4020a3,n,ptr
0x402167,n,newPriority
0x402169,n,newWidget
0x40216a,n,this
0x402182,n,allocation_size
0x4021a1,n,is_small
0x4021a3,n,parent
0x4021a4,n,this
0x402200,n,msg
0x40220e,n,msg
0x40220f,n,this
0x402248,n,this
0x40224b,n,id
0x40226e,n,this
0x402283,n,id
0x402285,n,this
0x4022c2,n,id
0x4022c3,n,this
0x40231b,n,num
0x40231c,n,src
0x40231d,n,this
0x40232b,n,this
0x40233d,n,chatString
0x402395,n,this
0x4023f1,n,cChat
0x4023f6,n,toWho
0x40242e,n,ptr
0x402466,n,inMap
0x402494,n,code
0x402495,n,this
0x4024ab,n,Str1
0x4024cb,n,newIndex
0x4024cc,n,newNumTroops
0x4024ce,n,armyType
0x4024d0,n,this
0x4024f0,n,Str1
0x402510,n,newIndex
0x402511,n,newNumTroops
0x402513,n,armyType
0x402515,n,this
0x402535,n,Str1
0x40254a,n,artifact
0x40254c,n,this
0x402557,n,equip_it
0x40255c,n,bCheckEnd
0x40255e,n,artifact
0x40255f,n,this
0x402570,n,artifact
0x402572,n,this
0x40257d,n,equip_it
0x402582,n,bCheckEnd
0x402584,n,artifact
0x402585,n,this
0x402596,n,artifact
0x402598,n,this
0x4025a7,n,equip_it
0x4025ac,n,bCheckEnd
0x4025ae,n,artifact
0x4025af,n,this
0x4025d4,n,Str1
0x4025e5,n,level
0x4025ee,n,this
0x4025f0,n,show_cap_window
0x4025f2,n,bCheckLevel
0x4025f4,n,howMuch
0x40260a,n,Str1
0x402635,n,Str1
0x40264c,n,this
0x402674,n,Str1
0x40269f,n,Str1
0x4026b5,n,this
0x4026d0,n,Str1
0x4026dd,n,this
0x4026f7,n,remote_move
0x4026f9,n,range
0x4026fe,n,whichPlayer
0x4026ff,n,z
0x402700,n,startY
0x402702,n,startX
0x40272e,n,Str1
0x40273b,n,this
0x402750,n,int
0x402755,n,int
0x402756,n,int
0x402757,n,int
0x402759,n,int
0x402760,n,this
0x40277d,n,this
0x402783,n,targetY
0x402785,n,targetX
0x40278c,n,this
0x402792,n,bForceSaveBorder
0x402794,n,bUpdate
0x4027ab,n,Str1
0x4027ee,n,draw
0x4027f4,n,update
0x4027f6,n,draw
0x4027fb,n,this
0x402810,n,Str1
0x40281d,n,arg
0x402897,n,Str1
0x4028b9,n,Str1
0x4028ca,n,artifact
0x4028cb,n,this
0x4028dc,n,equip_it
0x4028e1,n,bCheckEnd
0x4028e3,n,artifact
0x4028e4,n,this
0x4028f7,n,whichSpell
0x4028f8,n,this
0x402905,n,this
0x40290b,n,bUpdate
0x40290d,n,bDrawWindow
0x40290f,n,force_update
0x402926,n,Str1
0x402952,n,Str1
0x40297c,n,this
0x402982,n,bForceSaveBorder
0x402984,n,bUpdate
0x402997,n,this
0x40299d,n,bForceSaveBorder
0x40299f,n,bUpdate
0x4029b1,n,destroy
0x4029b3,n,this
0x4029c8,n,destroy
0x4029ca,n,this
0x4029d1,n,a2
0x4029d2,n,this
0x402a78,n,C
0x402a88,n,C
0x402af1,n,ptr
0x402b63,n,this
0x402bc6,n,this
0x402bd0,n,int
0x402bd5,n,int
0x402bda,n,bool
0x402bf4,n,w
0x402bf8,n,h
0x402bfc,n,y
0x402bfd,n,this
0x402c03,n,x
0x402c70,n,switch 36 cases
0x402c82,n,switch jump
0x402c89,r,jumptable 00402C82 case 1
0x402c8f,r,jumptable 00402C82 case 2
0x402c98,r,jumptable 00402C82 case 3
0x402ca1,r,jumptable 00402C82 case 4
0x402caa,r,jumptable 00402C82 case 5
0x402cb3,r,jumptable 00402C82 case 6
0x402cbc,r,jumptable 00402C82 case 7
0x402cc5,r,jumptable 00402C82 case 8
0x402cce,r,jumptable 00402C82 case 9
0x402cd7,r,jumptable 00402C82 case 10
0x402ce0,r,jumptable 00402C82 case 11
0x402ce9,r,jumptable 00402C82 case 12
0x402cf2,r,jumptable 00402C82 case 13
0x402cfb,r,jumptable 00402C82 case 14
0x402d04,r,jumptable 00402C82 case 30
0x402d0d,r,jumptable 00402C82 case 31
0x402d16,r,jumptable 00402C82 cases 32-36
0x402d1f,r,jumptable 00402C82 cases 15-29
0x402d55,r,"jumptable 00402C82 default case
jumptable 00402D9A default case"
0x402d90,n,switch 7 cases
0x402d9a,n,switch jump
0x402da1,r,jumptable 00402D9A case 1015
0x402daa,r,jumptable 00402D9A case 1009
0x402db3,r,jumptable 00402D9A case 1010
0x402dbc,r,jumptable 00402D9A case 1011
0x402dc5,r,jumptable 00402D9A case 1012
0x402dce,r,jumptable 00402D9A case 1013
0x402dd7,r,jumptable 00402D9A case 1014
0x402de0,n,jump table for switch statement
0x402e28,n,indirect table for switch statement
0x402e4c,n,jump table for switch statement
0x402e79,n,this
0x402e8c,n,switch 29 cases
0x402ea0,n,switch jump
0x402ea7,r,"jumptable 00402EA0 cases 15-19,39-43"
0x402eb1,n,a3
0x402eb2,n,this
0x402ef6,n,this
0x402efc,n,display_drop_shadow
0x402efe,n,y
0x402eff,n,x
0x402f04,n,heroId
0x402f15,r,jumptable 00402EA0 cases 32-36
0x402f16,n,this
0x402f40,n,bool
0x402f42,n,int
0x402f48,n,int
0x402f52,n,int
0x402f53,n,this
0x402f69,r,"jumptable 00402EA0 default case, cases 20-31,37,38"
0x402f6a,n,this
0x402f8a,n,height
0x402f8b,n,width
0x402f8e,n,text
0x402f9f,n,int
0x402fa2,n,int
0x402fa4,n,int
0x402fab,n,int
0x402fad,n,int
0x402fb1,n,int
0x402fb3,n,int
0x402fb8,n,int
0x402fba,n,int
0x402fc2,n,int
0x402fc7,n,int
0x402fc8,n,char *
0x402fdc,n,jump table for switch statement
0x402fe8,n,indirect table for switch statement
0x403016,n,this
0x403038,n,my
0x403039,n,mx
0x40303a,n,this
0x40305d,n,this
0x403063,n,mouseManager::EPointerSet
0x403065,n,int
0x40307f,n,switch 22 cases
0x403093,n,switch jump
0x40309a,r,jumptable 00403093 cases 32-36
0x4030cc,n,this
0x4030df,n,Dest
0x4030f6,r,jumptable 00403093 cases 15-29
0x403165,n,this
0x403188,r,"jumptable 00403093 default case, cases 30,31"
0x403189,n,this
0x40319b,n,extra
0x40319c,n,itemID
0x4031a1,n,subtype
0x4031a3,n,command
0x4031a8,n,this
0x4031d0,n,w
0x4031d1,n,h
0x4031dc,n,y
0x4031e2,n,this
0x4031e8,n,x
0x4031f8,n,jump table for switch statement
0x403204,n,indirect table for switch statement
0x403226,n,this
0x40323f,n,updateFlag
0x403242,n,drawWin
0x403244,n,top
0x403246,n,this
0x403267,n,updateFlag
0x403269,n,drawWin
0x40326b,n,top
0x40326d,n,this
0x403286,n,this
0x40329f,n,updateFlag
0x4032a2,n,drawWin
0x4032a4,n,top
0x4032a6,n,this
0x4032c7,n,updateFlag
0x4032c9,n,drawWin
0x4032cb,n,top
0x4032cd,n,this
0x4032e7,n,this
0x4032f4,n,this
0x403331,n,updateFlag
0x403333,n,drawWinSect
0x403335,n,iWhich
0x403336,n,this
0x403346,n,status
0x40334a,n,id
0x40334c,n,this
0x403363,n,status
0x403368,n,id
0x40336c,n,this
0x4033c0,n,this
0x4033c7,n,extra
0x4033c9,n,command
0x4033d0,n,this
0x4033f5,n,this
0x4033fb,n,w
