# NH3API v2.1 IDB functions; hd_va is the HD pressing; retail_rva only where the hdmap
# masked-identity bridge lands (crossbuild-verified correspondence, name still external).
hd_va,name,readable,prototype,retail_rva
0x404c90,?_Split@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AAEXXZ,std_D_DU_char_traits_basic_string_Split,void (__thiscall ?_Split@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AAEXXZ)(std::string* this),
0x404d70,init_bitset_404D70,,,
0x404d90,init_bitset_404D90,,,
0x404df0,init_bitset_404DF0,,,
0x404e50,init_bitset_404E50,,,
0x404ec0,init_bitset_404EC0,,,
0x404f20,init_bitset_404F20,,,
0x404f80,init_bitset_404F80,,,
0x404fe0,init_bitset_404FE0,,,
0x405040,init_bitset_405040,,,
0x4050a0,init_bitset_4050A0,,,
0x405100,init_bitset_405100,,,
0x405160,??0TAdventureOptionsWindow@@QAA@XZ,TAdventureOptionsWindow_ctor,TAdventureOptionsWindow* (__thiscall ??0TAdventureOptionsWindow@@QAA@XZ)(TAdventureOptionsWindow* this),
0x405610,?handle_message@CHeroWindowEx@@UAAHAAUmessage@@@Z,CHeroWindowEx_handle_message,"int (__thiscall ?handle_message@CHeroWindowEx@@UAAHAAUmessage@@@Z)(CHeroWindowEx* this, message* msg)",
0x405620,??_GTAdventureOptionsWindow@@UAAPAXI@Z,op_GTAdventureOptionsWindow,"void (__thiscall ??_GTAdventureOptionsWindow@@UAAPAXI@Z)(TAdventureOptionsWindow* this, bool flag)",
0x405650,??1TAdventureOptionsWindow@@UAA@XZ,TAdventureOptionsWindow_dtor,void (__thiscall ??1TAdventureOptionsWindow@@UAA@XZ)(TAdventureOptionsWindow* this),
0x4056c0,?WindowHandler@TAdventureOptionsWindow@@UAAHAAUmessage@@@Z,TAdventureOptionsWindow_WindowHandler,"int (__thiscall ?WindowHandler@TAdventureOptionsWindow@@UAAHAAUmessage@@@Z)(TAdventureOptionsWindow* this, message* msg)",
0x4058c0,init_bitset_4058C0,,,
0x4058e0,init_bitset_4058E0,,,
0x405940,init_bitset_405940,,,
0x4059a0,init_bitset_4059A0,,,
0x405a10,init_bitset_405A10,,,
0x405a70,init_bitset_405A70,,,
0x405ad0,init_bitset_405AD0,,,
0x405b30,init_bitset_405B30,,,
0x405b90,init_bitset_405B90,,,
0x405bf0,init_bitset_405BF0,,,
0x405c50,init_bitset_405C50,,,
0x405cb0,?InitializeCreatureGeneratorNames@@YA_NXZ,InitializeCreatureGeneratorNames,,
0x405d10,?InitializeExtraInfoText@@YA_NXZ,InitializeExtraInfoText,,
0x405d40,init_405D40,,,
0x405d70,?get_black_box@ExtraInfoUnion@@QBAPAVBlackBoxData@@XZ,ExtraInfoUnion_get_black_box,BlackBoxData* (__thiscall ?get_black_box@ExtraInfoUnion@@QBAPAVBlackBoxData@@XZ)(ExtraInfoUnion* this),0x5de0
0x405d80,?get_creature_bank@ExtraInfoUnion@@QBAAAUtype_creature_bank@@XZ,ExtraInfoUnion_get_creature_bank,type_creature_bank* (__thiscall ?get_creature_bank@ExtraInfoUnion@@QBAAAUtype_creature_bank@@XZ)(ExtraInfoUnion* this),0x5df0
0x405da0,?get_university@ExtraInfoUnion@@QBAPAUtype_university@@XZ,ExtraInfoUnion_get_university,type_university* (__thiscall ?get_university@ExtraInfoUnion@@QBAPAUtype_university@@XZ)(ExtraInfoUnion* this),0x5e10
0x405dc0,?HandleNetMsg@CAdvMgrNetMsgHandler@@UAAPAVCNetMsg@@PAV2@@Z,CAdvMgrNetMsgHandler_HandleNetMsg,"int (__thiscall ?HandleNetMsg@CAdvMgrNetMsgHandler@@UAAPAVCNetMsg@@PAV2@@Z)(CAdvMgrNetMsgHandler* this, CNetMsg* msg)",
0x406410,hero::Copy,,"void (__thiscall hero::Copy)(hero* this, hero* other)",0x6480
0x4069b0,?HandleGiftRequestMsg@CAdvMgrNetMsgHandler@@IAAXPAVCNetMsg@@@Z,CAdvMgrNetMsgHandler_HandleGiftRequestMsg,"void (__thiscall ?HandleGiftRequestMsg@CAdvMgrNetMsgHandler@@IAAXPAVCNetMsg@@@Z)(CAdvMgrNetMsgHandler* this, CGiftMsg* pNetMsg)",
0x406b80,?HandleGiftMsg@CAdvMgrNetMsgHandler@@MAAXPAVCNetMsg@@@Z,CAdvMgrNetMsgHandler_HandleGiftMsg,"void (__thiscall ?HandleGiftMsg@CAdvMgrNetMsgHandler@@MAAXPAVCNetMsg@@@Z)(CAdvMgrNetMsgHandler* this, CGiftMsg* msg)",
0x406d80,??0advManager@@QAA@XZ,advManager_ctor,advManager* (__thiscall ??0advManager@@QAA@XZ)(advManager* this),0x6df0
