# every name in the IDB (HD-pressing addresses).
hd_va,kind,name,readable
0x405d70,mangled,?get_black_box@ExtraInfoUnion@@QBAPAVBlackBoxData@@XZ,ExtraInfoUnion_get_black_box
0x405d80,mangled,?get_creature_bank@ExtraInfoUnion@@QBAAAUtype_creature_bank@@XZ,ExtraInfoUnion_get_creature_bank
0x405da0,mangled,?get_university@ExtraInfoUnion@@QBAPAUtype_university@@XZ,ExtraInfoUnion_get_university
0x405dc0,mangled,?HandleNetMsg@CAdvMgrNetMsgHandler@@UAAPAVCNetMsg@@PAV2@@Z,CAdvMgrNetMsgHandler_HandleNetMsg
0x405e16,user,NetDataType_1000,
0x405e72,user,NetDataType_1004,
0x405e81,user,NetDataType_1005,
0x405ea6,user,NetDataType_1016,
0x405f43,user,NetDataType_1014,
0x405f7b,user,NetDataType_1017,
0x405f9c,user,NetDataType_1018,
0x405fab,user,NetDataType_1019,
0x405fcb,user,NetDataType_1020,
0x405feb,user,NetDataType_1021,
0x4060ff,user,NetDataType_1022,
0x406213,user,NetDataType_1009,
0x406230,user,NetDataType_1064,
0x4062d3,user,NetDataType_1071,
0x40630a,user,NetDataType_1074,
0x406314,user,NetDataType_1075,
0x40631e,user,NetDataType_1076,
0x406332,user,NetDataType_1078,
0x40634f,user,NetDataType_Others,
0x406370,user,jpt_405E0F,
0x406410,user,hero::Copy,
0x4069b0,mangled,?HandleGiftRequestMsg@CAdvMgrNetMsgHandler@@IAAXPAVCNetMsg@@@Z,CAdvMgrNetMsgHandler_HandleGiftRequestMsg
0x406b80,mangled,?HandleGiftMsg@CAdvMgrNetMsgHandler@@MAAXPAVCNetMsg@@@Z,CAdvMgrNetMsgHandler_HandleGiftMsg
0x406d80,mangled,??0advManager@@QAA@XZ,advManager_ctor
0x406f60,mangled,?Open@advManager@@UAAHH@Z,advManager_Open
0x407740,mangled,?Close@advManager@@UAAXXZ,advManager_Close
0x407a20,mangled,?InMapArea@advManager@@QAAHHH@Z,advManager_InMapArea
0x407a70,mangled,?get_mouse_map_point@advManager@@QBA?AUtype_point@@XZ,advManager_get_mouse_map_point
0x407ae0,mangled,?DoAdvCommand@advManager@@QAAPAVNewmapCell@@AAUtype_point@@@Z,advManager_DoAdvCommand
0x408690,user,def_407B30,
0x4086b0,user,jpt_407B30,
0x4086d0,mangled,?cell@NewfullMap@@QAAPAVNewmapCell@@HHH@Z,NewfullMap_cell
0x408710,mangled,?Main@advManager@@UAAHAAUmessage@@@Z,advManager_Main
