# ??_7 vtable names (HD-pressing addresses).
hd_va,name,class
0x641138,??_7t_lod_file_adapter@?%E:_Users_igorl_VSS_HMM_HMM3_Source_ResourceManager_ResourceManager.cpp305292004@ResourceManager@@6B@,t_lod_file_adapter@?%E:_Users_igorl_VSS_HMM_HMM3_Source_ResourceManager_ResourceManager.cpp305292004@ResourceManager
0x641144,??_7t_stdio_file_adapter@?%E:_Users_igorl_VSS_HMM_HMM3_Source_ResourceManager_ResourceManager.cpp305292004@ResourceManager@@6B@,t_stdio_file_adapter@?%E:_Users_igorl_VSS_HMM_HMM3_Source_ResourceManager_ResourceManager.cpp305292004@ResourceManager
0x641588,??_7type_backpack_slot_widget@@6B@,type_backpack_slot_widget
0x6415c0,??_7type_artifact_offering_widget@@6B@,type_artifact_offering_widget
0x641630,??_7type_sacrifice_window@@6B@,type_sacrifice_window
0x6416e0,??_7sample@@6B@,sample
0x6416ec,??_7CAdvancedOption@@6B@,CAdvancedOption
0x641720,??_7CScenarioInfoDlg@@6B@,CScenarioInfoDlg
0x6419b4,??_7CHotspotWidget@@6B@,CHotspotWidget
0x641a78,??_7CTeamAlignmentDlg@@6B@,CTeamAlignmentDlg
0x641b30,??_7CGameHeaderInfoMsg@@6B@,CGameHeaderInfoMsg
0x641cbc,??_7TSingleSelectionWindow@@6B@,TSingleSelectionWindow
0x641d40,??_7CNewMapHeaderInfoMsg@@6B@,CNewMapHeaderInfoMsg
0x641d48,??_7t_map_list_update@@6B@,t_map_list_update
0x641d54,??_7CNewPlayerUpdateProc@@6B@,CNewPlayerUpdateProc
0x641d60,??_7slider@@6B@,slider
0x641ddc,??_7TSpellbookWindow@@6B@,TSpellbookWindow
0x64235c,??_7TSubWindow@@6B@,TSubWindow
0x6423cc,??_7CSwapManagerChatEdit@@6B@,CSwapManagerChatEdit
0x642438,??_7TSwapWindow@@6B@,TSwapWindow
0x64245c,??_7swapManager@@6B@,swapManager
0x642478,??_7TSystemOptionsWindow@@6B@,TSystemOptionsWindow
0x642d50,??_7textEntryWidget@@6B@,textEntryWidget
0x642d9c,??_7CTextEntrySave@@6B@,CTextEntrySave
0x642da8,??_7TTextResource@@6B@,TTextResource
0x642db4,??_7TSpreadsheetResource@@6B@,TSpreadsheetResource
0x642dc0,??_7textWidget@@6B@,textWidget
0x642df8,??_7bitmapBackedTextWidget@@6B@,bitmapBackedTextWidget
0x642e40,??_7TTownGateWindow@@6B@,TTownGateWindow
0x643730,??_7townManager@@6B@,townManager
0x64373c,??_7TTownScreenWindow@@6B@,TTownScreenWindow
0x643774,??_7TThievesGuildWindow@@6B@,TThievesGuildWindow
0x6437b0,??_7THallWindow@@6B@,THallWindow
0x6437ec,??_7TMageGuildWindow@@6B@,TMageGuildWindow
0x643828,??_7type_garrison_base_window@@6B@,type_garrison_base_window
0x643864,??_7type_monster_join_window@@6B@,type_monster_join_window
0x6438a0,??_7TGarrisonWindow@@6B@,TGarrisonWindow
0x643918,??_7TShipWindow@@6B@,TShipWindow
0x643990,??_7TTavernWindow@@6B@,TTavernWindow
0x6439cc,??_7TCastleWindow@@6B@,TCastleWindow
0x643a44,??_7TGiveResourceWindow@@6B@,TGiveResourceWindow
0x643abc,??_7TSellArtifactWindow@@6B@,TSellArtifactWindow
0x643c24,??_7TViewArmyWindow@@6B@,TViewArmyWindow
0x643c64,??_7TViewWorldWindow@@6B@,TViewWorldWindow
0x643ca0,??_7widget@@6B@,widget
0x643cd4,??_7heroWindow@@6B@,heroWindow
0x643cf8,??_7CHeroWindowEx@@6B@,CHeroWindowEx
0x643d30,??_7File@@6B@,File
0x643d5c,??_7heroWindowManager@@6B@,heroWindowManager
0x6455ac,??_7length_error@std@@6B@,length_error@std
0x6455cc,??_7logic_error@std@@6B@,logic_error@std
0x6455dc,??_7out_of_range@std@@6B@,out_of_range@std
0x64560c,??_7failure@ios_base@std@@6B@,failure@ios_base@std
0x645650,??_7runtime_error@std@@6B@,runtime_error@std
0x645660,??_7ios_base@std@@6B@,ios_base@std
0x645668,??_7?$basic_istream@DU?$char_traits@D@std@@@std@@6B@,?$basic_istream@DU?$char_traits@D@std
0x645670,??_7istrstream@std@@6B@,istrstream@std
0x645678,??_7ostrstream@std@@6B@,ostrstream@std
0x645680,??_7strstreambuf@std@@6B@,strstreambuf@std
0x6456b8,??_7?$basic_streambuf@DU?$char_traits@D@std@@@std@@6B@,?$basic_streambuf@DU?$char_traits@D@std
0x6456f0,??_7?$basic_ios@DU?$char_traits@D@std@@@std@@6B@,?$basic_ios@DU?$char_traits@D@std
0x6456f8,??_7?$basic_ostream@DU?$char_traits@D@std@@@std@@6B@,?$basic_ostream@DU?$char_traits@D@std
0x645708,??_7_Locimp@locale@std@@6B@,_Locimp@locale@std
0x645710,??_7facet@locale@std@@6B@,facet@locale@std
0x645718,??_7?$codecvt@DDH@std@@6B@,?$codecvt@DDH@std
0x645738,??_7?$numpunct@D@std@@6B@,?$numpunct@D@std
0x645754,??_7?$num_put@DV?$ostreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@6B@,?$num_put@DV?$ostreambuf_iterator@DU?$char_traits@D@std
0x645774,??_7?$num_get@DV?$istreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@6B@,?$num_get@DV?$istreambuf_iterator@DU?$char_traits@D@std
0x6457a0,??_7?$ctype@D@std@@6B@,?$ctype@D@std
0x6457b8,??_7bad_cast@std@@6B@,bad_cast@std
0x645820,??_7?$basic_filebuf@DU?$char_traits@D@std@@@std@@6B@,?$basic_filebuf@DU?$char_traits@D@std
0x645858,??_7?$basic_istream@GU?$char_traits@G@std@@@std@@6B@,?$basic_istream@GU?$char_traits@G@std
0x645860,??_7?$basic_ostream@GU?$char_traits@G@std@@@std@@6B@,?$basic_ostream@GU?$char_traits@G@std
0x645868,??_7?$basic_ios@GU?$char_traits@G@std@@@std@@6B@,?$basic_ios@GU?$char_traits@G@std
0x645880,??_7?$basic_filebuf@GU?$char_traits@G@std@@@std@@6B@,?$basic_filebuf@GU?$char_traits@G@std
0x6458b8,??_7?$basic_streambuf@GU?$char_traits@G@std@@@std@@6B@,?$basic_streambuf@GU?$char_traits@G@std
0x645904,??_7bad_alloc@std@@6B@,bad_alloc@std
0x645914,??_7?$codecvt@GDH@std@@6B@,?$codecvt@GDH@std
0x645934,??_7?$time_put@GV?$ostreambuf_iterator@GU?$char_traits@G@std@@@std@@@std@@6B@,?$time_put@GV?$ostreambuf_iterator@GU?$char_traits@G@std
0x645940,??_7?$time_get@GV?$istreambuf_iterator@GU?$char_traits@G@std@@@std@@@std@@6B@,?$time_get@GV?$istreambuf_iterator@GU?$char_traits@G@std
0x645960,??_7?$moneypunct@G$00@std@@6B@,?$moneypunct@G$00@std
0x64598c,??_7?$moneypunct@G$0A@@std@@6B@,?$moneypunct@G$0A
0x6459b8,??_7?$money_put@GV?$ostreambuf_iterator@GU?$char_traits@G@std@@@std@@@std@@6B@,?$money_put@GV?$ostreambuf_iterator@GU?$char_traits@G@std
0x6459c8,??_7?$money_get@GV?$istreambuf_iterator@GU?$char_traits@G@std@@@std@@@std@@6B@,?$money_get@GV?$istreambuf_iterator@GU?$char_traits@G@std
0x6459d8,??_7?$messages@G@std@@6B@,?$messages@G@std
0x6459ec,??_7?$collate@G@std@@6B@,?$collate@G@std
0x645a00,??_7?$numpunct@G@std@@6B@,?$numpunct@G@std
0x645a1c,??_7?$num_put@GV?$ostreambuf_iterator@GU?$char_traits@G@std@@@std@@@std@@6B@,?$num_put@GV?$ostreambuf_iterator@GU?$char_traits@G@std
