# MANUALLY MANAGED - reviewed rows; hand-owned after admission.
# Every verified function span in the pinned PEF code section; names
# come from source MAC_ADDRESS claims, the runtime maps and glue map.
# exe: Heroes PEF sha256=650be8880cfda81ffa7704ce3bcdb9c5a6528f67afdf77c0c0c63e8259250d86 size=3418835
# Offsets are relative to PEF code section 0; lowercase 0x hex.
offset	size
0x4abf0	0x118
0x4ad08	0x8c
0x4ad94	0x20c
0x4afa0	0x68c
0x4b62c	0x6e4
0x4bd10	0x1a0
0x4beb0	0x60
0x4bf10	0x60
0x4bf70	0x1fc
0x4c16c	0x440
0x4c5ac	0x258
0x4c804	0xa84
0x4d288	0x638
0x4d8c0	0x36c
0x4dc2c	0x44
0x4dc70	0x3a4
0x4e014	0x160
0x4e174	0x160
0x4e2d4	0x48
0x4e31c	0x17c
0x4e498	0x50
0x4e4e8	0x34
0x4e51c	0x1c
0x4e538	0xe4
0x4e61c	0xd8
0x4e6f4	0xdc
0x4e7d0	0x70
0x4e840	0x118
0x4e958	0x94
0x4e9ec	0x30c
0x4ecf8	0x12c
0x4ee24	0x114
0x4ef38	0x68
0x4efa0	0x5c
0x4effc	0x30
0x4f02c	0x204
0x4f230	0x530
0x4f760	0x358
0x4fab8	0x8
0x4fac0	0x244
0x4fd04	0x88
0x4fd8c	0xf4
0x4fe80	0x134
0x4ffb4	0x98
0x5004c	0xac
0x500f8	0x338
0x50430	0x7c
0x504ac	0xd4
0x50580	0x3b4
0x50934	0x188
0x50abc	0xdc
0x50b98	0x8c
0x50c24	0x68
0x50c8c	0x7a8
0x51434	0x98
0x514cc	0x1d0
0x5169c	0x118
0x517b4	0xac
0x51860	0x108
0x51968	0x16c
0x51ad4	0x1b4
0x51c88	0x20
0x51ca8	0xac
0x51d54	0x13c
0x51e90	0x114
0x51fa4	0x64c
0x525f0	0x164
0x52754	0x2c
0x52780	0x24
0x527a4	0x1c
0x527c0	0x48
0x52808	0x6c
0x52874	0x38
0x528ac	0x8c
0x52938	0x174
0x52aac	0x15c
0x52c08	0x420
0x53028	0x374
0x5339c	0x300
0x5369c	0x15c
0x537f8	0x100
0x538f8	0x144
0x53a3c	0x18c
0x53bc8	0x338
0x53f00	0xc4
0x53fc4	0x70
0x54034	0x134
0x54168	0x134
0x5429c	0x54
0x542f0	0x17c
0x5446c	0xac
0x54518	0x44
0x5455c	0x68
0x545c4	0xd8
0x5469c	0x64
0x54700	0x1f4
0x548f4	0x4f0
0x54de4	0x5c
0x54e40	0xd8
0x54f18	0xa0
0x54fb8	0x70
0x55028	0x6c
0x55094	0x120
0x551b4	0x758
0x5590c	0x3c
0x55948	0x9c
0x55c88	0x28
0x55cb0	0x34
0x55ce4	0x54
0x55ffc	0x268
0x56264	0x18
0x5627c	0x8
0x56284	0x10
0x56294	0x1c0
0x56454	0x94
0x564e8	0xf4
0x565dc	0x50
0x5662c	0xb2c
0x57158	0xac
0x57204	0x318
0x5751c	0x118
0x57634	0x280
0x578b4	0x108
0x579bc	0x574
0x57f30	0x90
0x57fc0	0x90
0x58050	0x30
0x58080	0x8c
0x5810c	0x40
0x5814c	0x48
0x58194	0x48
0x581dc	0x1c
0x581f8	0x94
0x5828c	0x17c
0x58408	0xcc
0x584d4	0x54
0x58528	0x7c
0x585a4	0x16c
0x58710	0x3c
0x5874c	0x94
0x587e0	0x94
0x58874	0xd0
0x58944	0x21c
0x58b60	0x270
0x58dd0	0x178
0x58f48	0x178
0x590c0	0x140
0x59200	0x3c4
0x595c4	0x170
0x59734	0x714
0x59e48	0x3a8
0x5a1f0	0x90
0x5a280	0xc
0x5a28c	0xe8
0x5a374	0x1c0
0x5a534	0xdc
0x5a610	0xfc
0x5a70c	0x7ec
0x5aef8	0x60
0x5af58	0x74
0x5afcc	0x1c
0x5afe8	0xc
0x5aff4	0x20
0x5b014	0xe4
0x5b0f8	0xe8
0x5b1e0	0xe8
0x5b2c8	0x93c
0x5bc04	0x5c
0x5bc60	0x1c0
0x5be20	0xc4
0x5bee4	0xc0
0x5bfa4	0x7c
0x5c020	0xc
0x5c02c	0x68
0x5c094	0x64
0x5c0f8	0x158
0x5c250	0xf8
0x5c348	0xec
0x5c434	0x11c
0x5c550	0x1a8
0x5c6f8	0x10c
0x5c804	0x1b0
0x5c9b4	0x328
0x5ccdc	0x1c0
0x5ce9c	0xc4
0x5cf60	0x70
0x5cfd0	0x3c
0x5d00c	0x210
0x5d21c	0xc
0x5d228	0x2f8
0x5d520	0x1c8
0x5d6e8	0x248
0x5d930	0x1c0
0x5daf0	0xc4
0x5dbb4	0x88
0x5dc3c	0xf8
0x5dd34	0x21c
0x5df50	0x44
0x5df94	0x40
0x5dfd4	0xc
0x5dfe0	0x34
0x5e014	0x24
0x5e038	0x4c
0x5e084	0x1c0
0x5e244	0x38
0x5e27c	0x50
0x5e2cc	0x60
0x5e32c	0x20
0x5e34c	0x230
0x5e57c	0x8
0x5e584	0x4
0x5e588	0x4
0x5e58c	0x88
0x5e614	0x4
0x5e618	0xa4
0x5e6bc	0xe4
0x5e7a0	0x9c
0x5e83c	0x7c
0x5e8b8	0x7c
0x5e934	0x70
0x5e9a4	0x1c
0x5e9c0	0x1c
0x5e9dc	0x6c
0x5ea48	0x74
0x5eabc	0x50
0x5eb0c	0xd8
0x5ebe4	0x9c
0x5ec80	0x7c
0x5ecfc	0x4
0x5ed00	0x8c
